start_position,origin_id,n_predictions,single_origin_sample,duration_ms
0,206256,1,1,12.271507002878934
1,206257,29,0,2.257874992210418
30,206286,1,1,1.906443969346583
31,206287,30,0,2.1769959712401032
61,206317,1,1,1.893969951197505
62,206318,30,0,2.1390349720604718
92,206348,1,1,1.8954139668494463
93,206349,29,0,2.130159002263099
122,206378,1,1,1.8865669844672084
123,206379,30,0,2.13600997813046
153,206409,1,1,1.869696017820388
154,206410,30,0,2.1421000128611922
184,206440,1,1,1.8850250053219497
185,206441,29,0,2.1365699940361083
214,206470,1,1,1.9153209868818521
215,206471,30,0,2.1204609656706452
245,206501,1,1,1.879584975540638
246,206502,30,0,2.1338550141081214
276,206532,1,1,1.8817780073732138
277,206533,29,0,2.130029024556279
306,206562,1,1,1.8771489849314094
307,206563,30,0,2.122975012753159
337,206593,1,1,1.881456992123276
338,206594,30,0,2.13500700192526
368,206624,1,1,1.889823004603386
369,206625,29,0,2.1296979975886643
398,206654,1,1,1.9012739649042487
399,206655,30,0,2.1526910131797194
429,206685,1,1,1.894792017992586
430,206686,30,0,2.1382130216807127
460,206716,1,1,1.8929989892058074
461,206717,29,0,2.127033018041402
490,206746,1,1,1.8825290026143193
491,206747,30,0,2.139766002073884
521,206777,1,1,1.8847939791157842
522,206778,30,0,2.1522390306927264
552,206808,1,1,2.0927689620293677
553,206809,29,0,2.139546035323292
582,206838,1,1,1.9051909912377596
583,206839,30,0,2.1321329986676574
613,206869,1,1,1.9009140087291598
614,206870,30,0,2.137180999852717
644,206900,1,1,1.8925280310213566
645,206901,29,0,2.125729981344193
674,206930,1,1,1.8825689912773669
675,206931,30,0,2.1353079937398434
705,206961,1,1,1.8840330303646624
706,206962,30,0,2.1420400007627904
736,206992,1,1,1.888519967906177
737,206993,30,0,2.1307500428520143
767,207023,1,1,1.891767024062574
768,207024,29,0,2.13559897383675
797,207053,1,1,1.8792939954437315
798,207054,30,0,2.1288160351105034
828,207084,1,1,1.8738029757514596
829,207085,30,0,2.133144997060299
859,207115,1,1,1.8780310056172311
860,207116,29,0,2.1318619837984443
889,207145,1,1,1.884512952528894
890,207146,30,0,2.127072017174214
920,207176,1,1,1.8757259822450578
921,207177,30,0,2.136139024514705
951,207207,1,1,1.8712489982135594
952,207208,29,0,2.1125460043549538
981,207237,1,1,1.8626630189828575
982,207238,30,0,2.124047023244202
1012,207268,1,1,1.8737339996732771
1013,207269,30,0,2.128726046066731
1043,207299,1,1,1.868563995230943
1044,207300,29,0,2.095092961098999
1073,207329,1,1,1.8573629786260426
1074,207330,30,0,2.1264920360408723
1104,207360,1,1,1.8544879858382046
1105,207361,30,0,2.1125959465280175
1135,207391,1,1,1.8631240236572921
1136,207392,29,0,2.098239026963711
1165,207421,1,1,1.8602979835122824
1166,207422,30,0,2.097087970469147
1196,207452,1,1,2.000628039240837
1197,207453,30,0,2.1202610223554075
1227,207483,1,1,1.8596270238049328
1228,207484,29,0,2.1092499955557287
1257,207513,1,1,1.847274019382894
1258,207514,30,0,2.100422978401184
1288,207544,1,1,1.8505799816921353
1289,207545,30,0,2.1057029953226447
1319,207575,1,1,1.8591259722597897
1320,207576,29,0,2.098809985909611
1349,207605,1,1,1.8449700437486172
1350,207606,30,0,2.0944729913026094
1380,207636,1,1,1.8554689595475793
1381,207637,30,0,2.111753972712904
1411,207667,1,1,1.8601579940877855
1412,207668,30,0,2.1109230001457036
1442,207698,1,1,1.846782979555428
1443,207699,29,0,2.066240005660802
1472,207728,1,1,1.8389889737591147
1473,207729,30,0,2.0770200062543154
1503,207759,1,1,1.8327980069443583
1504,207760,30,0,2.081478014588356
1534,207790,1,1,1.8261250224895775
1535,207791,29,0,2.075578027870506
1564,207820,1,1,1.838978030718863
1565,207821,30,0,2.0821699872612953
1595,207851,1,1,1.8402219866402447
1596,207852,30,0,2.0974180079065263
1626,207882,1,1,1.8545080092735589
1627,207883,29,0,2.0775209995917976
1656,207912,1,1,1.8373759812675416
1657,207913,30,0,2.0853549940511584
1687,207943,1,1,1.8448900082148612
1688,207944,30,0,2.082439954392612
1718,207974,1,1,1.8471539951860905
1719,207975,29,0,2.0775310113094747
1748,208004,1,1,1.850891043432057
1749,208005,30,0,2.0890330197289586
1779,208035,1,1,1.8487470224499702
1780,208036,30,0,2.092517970595509
1810,208066,1,1,1.8455309909768403
1811,208067,29,0,2.086617983877659
1840,208096,1,1,1.9981739460490644
1841,208097,30,0,2.0973380305804312
1871,208127,1,1,1.8572830012999475
1872,208128,30,0,2.108598011545837
1902,208158,1,1,1.8525940249674022
1903,208159,29,0,2.1036099642515182
1932,208188,1,1,1.8695059698075056
1933,208189,30,0,2.096195996273309
1963,208219,1,1,1.8486070330254734
1964,208220,30,0,2.0832919981330633
1994,208250,1,1,1.8445090390741825
1995,208251,29,0,2.08582601044327
2024,208280,1,1,1.848866988439113
2025,208281,30,0,2.0984899601899087
2055,208311,1,1,1.8632439896464348
2056,208312,30,0,2.088412002194673
2086,208342,1,1,1.8540869932621717
2087,208343,30,0,2.1054529934190214
2117,208373,1,1,1.858294999692589
2118,208374,29,0,2.105722960550338
2147,208403,1,1,1.8609289545565844
2148,208404,30,0,2.1104320185258985
2178,208434,1,1,1.8649169942364097
2179,208435,30,0,2.1175749716348946
2209,208465,1,1,1.8436170066706836
2210,208466,29,0,2.0912860054522753
2239,208495,1,1,1.8469530041329563
2240,208496,30,0,2.0930800237692893
2270,208526,1,1,1.8325559794902802
2271,208527,30,0,2.0650780061259866
2301,208557,1,1,1.8495579715818167
2302,208558,29,0,2.072180970571935
2331,208587,1,1,1.8416930106468499
2332,208588,30,0,2.073944953735918
2362,208618,1,1,1.8482860177755356
2363,208619,30,0,2.0694160484708846
2393,208649,1,1,1.849427993874997
2394,208650,29,0,2.081307990010828
2423,208679,1,1,1.850260014180094
2424,208680,30,0,2.0848640124313533
2454,208710,1,1,1.8522029859013855
2455,208711,30,0,2.0878800423815846
2485,208741,1,1,2.010677009820938
2486,208742,29,0,2.092498994898051
2515,208771,1,1,1.8383180140517652
2516,208772,30,0,2.0870990119874477
2546,208802,1,1,1.8368849996477365
2547,208803,30,0,2.0575440139509737
2577,208833,1,1,1.8275969778187573
2578,208834,29,0,2.0539379911497235
2607,208863,1,1,1.8331779865548015
2608,208864,30,0,2.0578239927999675
2638,208894,1,1,1.8270470318384469
2639,208895,30,0,2.068654983304441
2669,208925,1,1,1.8314250046387315
2670,208926,29,0,2.057383011560887
2699,208955,1,1,1.825154002290219
2700,208956,30,0,2.0565619925037026
2730,208986,1,1,1.833778980653733
2731,208987,30,0,2.0647369674406946
2761,209017,1,1,1.8314349581487477
2762,209018,30,0,2.0654090330936015
2792,209048,1,1,1.8273669993504882
2793,209049,29,0,2.046643989160657
2822,209078,1,1,1.8255739705637097
2823,209079,30,0,2.054999000392854
2853,209109,1,1,1.838708994910121
2854,209110,30,0,2.0648169447667897
2884,209140,1,1,1.8241920042783022
2885,209141,29,0,2.053375996183604
2914,209170,1,1,1.8312549800612032
2915,209171,30,0,2.078101970255375
2945,209201,1,1,1.8374259816482663
2946,209202,30,0,2.063745982013643
2976,209232,1,1,1.8394700018689036
2977,209233,29,0,2.0821200450882316
3006,209262,1,1,1.8559499876573682
3007,209263,30,0,2.089984016492963
3037,209293,1,1,1.8502799794077873
3038,209294,30,0,2.0817590411752462
3068,209324,1,1,1.8489279900677502
3069,209325,29,0,2.0758279715664685
3098,209354,1,1,1.8511710222810507
3099,209355,30,0,2.0872289896942675
3129,209385,1,1,1.9985049730166793
3130,209386,30,0,2.0914970082230866
3160,209416,1,1,1.8567510414868593
3161,209417,29,0,2.0729430252686143
3190,209446,1,1,1.8339899834245443
3191,209447,30,0,2.066029002889991
3221,209477,1,1,1.8435369711369276
3222,209478,30,0,2.0696769934147596
3252,209508,1,1,1.846141996793449
3253,209509,29,0,2.0590570056810975
3282,209538,1,1,1.846263010520488
3283,209539,30,0,2.085034968331456
3313,209569,1,1,1.8432459910400212
3314,209570,30,0,2.0831520087085664
3344,209600,1,1,1.8494779942557216
3345,209601,29,0,2.082599967252463
3374,209630,1,1,1.8661590293049812
3375,209631,30,0,2.1016760147176683
3405,209661,1,1,1.8515120027586818
3406,209662,30,0,2.1028369665145874
3436,209692,1,1,1.8545680213719606
3437,209693,29,0,2.0866079721599817
3466,209722,1,1,1.8549179658293724
3467,209723,30,0,2.097768010571599
3497,209753,1,1,1.8625630182214081
3498,209754,30,0,2.096956013701856
3528,209784,1,1,1.8592859851196408
3529,209785,30,0,2.0865080296061933
3559,209815,1,1,1.8556290306150913
3560,209816,29,0,2.087589993607253
3589,209845,1,1,1.8492279923520982
3590,209846,30,0,2.089352987241
3620,209876,1,1,1.8302830285392702
3621,209877,30,0,2.0794650190509856
3651,209907,1,1,1.8368349992670119
3652,209908,29,0,2.0918070222251117
3681,209937,1,1,1.8528750515542924
3682,209938,30,0,2.0976579980924726
3712,209968,1,1,1.8479849677532911
3713,209969,30,0,2.1057340200059116
