model,horizon_minutes,rmse_mean_over_seeds,rmse_e0,rmse_gain_vs_e0,r2_os_vs_e0
autots,1,54.01955041914975,53.939265903022445,-0.0010109802477948683,-0.0020276498059109693
autots,2,77.50510232137765,76.14044104907056,-0.013219108300737003,-0.026838749564917254
autots,3,96.44707030436334,92.89368125061165,-0.028008178255916415,-0.057882837807803476
tfm,1,54.08652638570972,53.939265903022445,-0.00223187056680918,-0.004475632776388716
tfm,2,76.51472688383164,76.14044104907056,-0.004035382100295503,-0.008114440013504653
tfm,3,93.57404744964097,92.89368125061165,-0.006125206455396448,-0.012334862155559189
