configuration,system,n_ext,n_new,rmse_mean,MedianGain_prune_vs_unprune,WinRate,P10Gain,WorstGain,eps,win
unprune,TimesFM-LoRA + XReg(F_raw),163,163,"[[73.7959, 103.6861, 127.3763], [49.0037, 70.8007, 85.5532], [83.9489, 119.5171, 150.1012], [127.7524, 184.5746, 108.6265], [25.6337, 36.3491, 44.3315]]",,,,,,
prune,TimesFM-LoRA + XReg(F_pruned),160,160,"[[73.7926, 103.6865, 127.3718], [48.9704, 70.7666, 85.5482], [83.9259, 119.4968, 150.0503], [128.5551, 183.0435, 107.8913], [25.6363, 36.3484, 44.3317]]",0.005831268125622291,0.7333333333333333,-0.006276557516415869,-0.628318736987743,0.35905329429797056,prune
