candidate,set,group,n_ext,MedianGain_vs_E0_sel,rmse_selection_seed,templates,is_final,MedianGain_vs_E0_confirm,eps_autots_final
F_WR_best|wr:60,F_WR_best,wr:60,111,-0.3343,"[[73.3332, 102.8033, 126.4997], [47.8009, 68.4051, 82.2339], [79.4071, 111.2322, 137.5483], [46.0793, 66.2069, 80.9366], [25.291, 35.6729, 43.2072]]",WindowRegression,,,
F_WR_best|mr,F_WR_best,mr,111,-0.2185,"[[73.3557, 104.6421, 130.5235], [47.5785, 68.3829, 82.3291], [77.9235, 112.7405, 144.9259], [45.9687, 65.9747, 80.9703], [25.2712, 35.7854, 43.4865]]",MultivariateRegression,True,-0.2185,0.005
F_MR_best|wr:60,F_MR_best,wr:60,29,-0.5551,"[[73.4986, 102.4473, 126.9999], [47.8434, 68.7158, 82.5736], [78.5557, 110.8305, 136.7716], [46.0529, 66.2356, 81.1037], [25.2374, 35.7004, 43.4913]]",WindowRegression,,,
F_MR_best|mr,F_MR_best,mr,29,-0.3447,"[[72.8655, 102.9841, 128.1314], [47.6687, 68.3197, 82.4328], [77.714, 110.2005, 137.6794], [45.9421, 65.9643, 80.8744], [25.2973, 35.9598, 43.8384]]",MultivariateRegression,,,
