configuration,system,n_ext,n_new,rmse_mean,MedianGain_prune_vs_unprune,WinRate,P10Gain,WorstGain,eps,win
unprune,autots_wr(S0_autots_wr ∪ F_raw),183,162,"[[72.9886, 102.2592, 125.9576], [47.776, 68.4035, 82.2637], [78.3161, 111.0135, 136.7151], [45.9915, 65.9282, 80.7103], [25.2924, 35.7576, 43.4605]]",,,,,,
prune,autots_wr(S0_autots_wr ∪ F_pruned),111,90,"[[73.0248, 102.2189, 126.0112], [47.7072, 68.326, 82.2705], [78.4319, 110.4916, 136.4819], [45.9485, 65.9616, 80.7101], [25.2751, 35.7176, 43.4216]]",0.06826974083953274,0.6666666666666666,-0.05020239954653505,-0.1478146350373688,0.16903812887090555,prune
