configuration,system,n_ext,n_new,rmse_mean,MedianGain_prune_vs_unprune,WinRate,P10Gain,WorstGain,eps,win
unprune,autots_mr(S0_autots_mr ∪ F_raw),41,33,"[[72.888, 103.707, 128.9992], [47.6844, 68.4518, 82.7211], [77.2766, 109.0511, 135.9323], [45.9593, 65.7329, 80.3512], [25.2627, 35.8615, 43.7071]]",,,,,,
prune,autots_mr(S0_autots_mr ∪ F_pruned),29,21,"[[72.9114, 103.054, 127.7591], [47.6105, 68.241, 82.3004], [77.4239, 109.048, 135.3985], [45.953, 65.8231, 80.6501], [25.2525, 35.919, 43.7395]]",0.013715296593663773,0.6,-0.17851756615417713,-0.371976841198407,0.005,prune
