configuration,system,role,n_ext,ext_cols,MedianGain_vs_E0,rmse_mean,is_final,MedianGain_vs_baseline,WinRate,P10Gain,WorstGain,eps_tfm,gain_cells
tfm_lora_baseline,A,TimesFM-LoRA baseline (feature-free),0,,-0.2424,"[[73.2066, 102.0453, 125.2472], [47.7119, 68.4212, 82.3761], [78.1954, 110.1831, 135.6873], [46.0399, 66.1373, 81.0567], [25.2788, 35.7867, 43.503]]",True,,,,,,
tfm_lora_xreg,B,TimesFM-LoRA + XReg(F_win),160,vwap_amt_gap_2|vwap_amt_gap_3|vwap_amt_gap_4|vwap_amt_gap_5|vwap_amt_gap_8|vwap_amt_gap_10|ret_1|ret_2|ret_3|ret_4|ret_5|ret_8|ret_10|ret_15|log_rv2_rv60|log_rv3_rv60|log_rv4_rv60|log_rv5_rv60|log_rv8_rv60|log_rv10_rv60|log_rv15_rv60|log_c_ema2|log_c_ema3|log_c_ema4|log_c_ema5|log_c_ema8|log_c_ema10|log_c_ema15|log_ema2_ema5|log_ema2_ema8|log_ema3_ema10|log_ema4_ema10|log_ema5_ema15|rsi1_centered|rsi2_centered|rsi3_centered|rsi4_centered|rsi5_centered|rsi8_centered|rsi10_centered|rsi15_centered|bb_pctb_2|bb_pctb_3|bb_pctb_4|bb_pctb_5|bb_pctb_8|bb_pctb_10|bb_pctb_15|bb_logbw_3|bb_logbw_4|bb_logbw_5|bb_logbw_8|bb_logbw_10|bb_logbw_15|log_atr1_c|log_atr2_c|log_atr3_c|log_atr4_c|log_atr5_c|log_atr8_c|log_atr10_c|log_atr15_c|log_atr2_rv2|log_atr3_rv3|log_atr4_rv4|log_atr5_rv5|log_atr8_rv8|log_atr10_rv10|log_atr15_rv15|kcw_2|kcw_3|kcw_4|kcw_5|kcw_8|kcw_10|kcw_15|mfi1_centered|mfi2_centered|mfi4_centered|mfi5_centered|mfi8_centered|mfi10_centered|mfi15_centered|ad_vwclv_1|ad_vwclv_2|ad_vwclv_3|ad_vwclv_4|ad_vwclv_8|ad_vwclv_10|dd_2|dd_3|dd_4|dd_5|dd_8|dd_10|dd_15|ru_2|ru_3|ru_4|ru_5|ru_8|ru_10|ru_15|log_range_1|log_range_2|log_range_3|log_range_4|log_range_5|log_range_8|log_range_10|log_range_15|ret_skew_5|ret_skew_8|ret_skew_10|ret_skew_15|hma_slope1_volnorm|hma_slope2_volnorm|hma_slope3_volnorm|hma_slope4_volnorm|hma_slope5_volnorm|hma_slope8_volnorm|hma_slope10_volnorm|hma_slope15_volnorm|macd_hist_2_5_2_volnorm|macd_hist_2_8_3_volnorm|macd_hist_3_10_3_volnorm|macd_hist_4_10_4_volnorm|macd_hist_5_15_5_volnorm|psar_dir_2|psar_dir_3|psar_dir_4|psar_dir_5|psar_dir_8|psar_dir_10|psar_dir_15|psar_logdist_2|psar_logdist_3|psar_logdist_4|psar_logdist_5|psar_logdist_8|psar_logdist_10|psar_logdist_15|psar_age_log_2|psar_age_log_3|psar_age_log_4|psar_age_log_5|psar_age_log_8|psar_age_log_10|psar_age_log_15|log_rv2_med2d|log_rv3_med2d|log_rv4_med2d|log_rv5_med2d|log_rv8_med2d|log_rv10_med2d|log_rv15_med2d|r5_2|r5_3|log_c5_ema5_2|log_c5_ema5_3,-3.5278,"[[73.7926, 103.6865, 127.3718], [48.9704, 70.7666, 85.5482], [83.9259, 119.4968, 150.0503], [128.5551, 183.0435, 107.8913], [25.6363, 36.3484, 44.3317]]",False,-3.4279,0.0,-119.3002,-179.2252,0.35905329429797056,"[[-0.8005, -1.6083, -1.6964], [-2.6378, -3.4279, -3.8508], [-7.3284, -8.4529, -10.5853], [-179.2252, -176.763, -33.1059], [-1.4142, -1.5697, -1.9049]]"
