fold,day,n,tfm_zero_shot_60,tfm_lora_60,autots_60,tfm_zero_shot_120,tfm_lora_120,autots_120,tfm_zero_shot_180,tfm_lora_180,autots_180
fold1,2023-10-12,8970,0.010723106369654012,-0.17664080272265537,0.0036115580763417254,0.01814199586858556,-0.23121516855015178,-0.004951092434033022,-0.01273183823768198,-0.19100751508696812,-0.007434295867269514
fold1,2023-10-13,8477,-0.042515712279646456,-0.5228030592951729,-0.008314406706161348,-0.07564882400562545,-0.4203902903476062,-0.013007311790395937,-0.04995007107282734,-0.4950206932049013,-0.008589018400916748
fold2,2023-10-14,2999,-0.02506898626761811,-0.2097746411210586,-0.0015120575743587938,-0.04154735993919312,-0.34396953041051326,0.0007925182225027028,-0.022755547801930787,-0.48807635003744476,0.002008227596929535
fold2,2023-10-15,4622,-0.05595555654886586,-0.3968713309972314,-0.03702840644084038,-0.03730357875060908,-0.4982029180752592,-6.213399685339738e-05,-0.08339601267638375,-0.8333138832130373,-0.0017347532809175448
fold3,2023-10-16,17670,0.011233409341122713,-0.35360566973810936,-0.003934861750114926,0.017269146574892646,-0.31416769442130366,0.0007685877856731249,0.036726365611043144,-0.25097886843385475,-0.002154134628404858
fold3,2023-10-17,13491,-0.02203734895773901,-0.3334566653044293,-0.01527518313794407,-0.016165460929249198,-0.39542194261140695,0.0014122962258686922,-0.0295315749727465,-0.3824066614092201,-0.009429720232235983
fold4,2023-10-18,11753,-0.012206250277167152,-0.06836751808519836,0.0012391916593345043,-0.005078933578436917,-0.09156757068129462,-0.012292605680731095,0.003582075976846677,-0.17307429882440228,0.004219429485981641
fold4,2023-10-19,13377,-0.041629242730010674,-0.24187427655179738,-0.000503601522259034,-0.040485754822798814,-0.4022756764619222,0.0056096388381784434,-0.05979100595029174,-0.43643914755950286,0.0028448875758576575
fold5,2023-10-20,20427,-0.034410870517040504,-0.32160856743595434,-0.0013039322974714995,-0.08256815485460778,-0.34600477036970045,-0.37974505390050206,-0.1246768605351054,-0.6939073516611347,-0.11797555138360272
fold5,2023-10-21,10961,-0.04639095957063666,-0.1183074111157123,0.0030687514910494595,-0.0010003248031409395,-0.29632761522341,-0.17047074994936628,0.003149581305690763,-0.3048957523358935,-0.0823026089036063
