file,fold,clock_hour_utc,origin_utc,origin_mid,actual_60,tfm_zero_shot_60,tfm_lora_60,autots_60,actual_120,tfm_zero_shot_120,tfm_lora_120,autots_120,actual_180,tfm_zero_shot_180,tfm_lora_180,autots_180
paths/path_fold1_20231012_040130.png,fold1,4,2023-10-12T04:01:30.266000+00:00,26843.295,26842.725,26841.975525998703,26837.98710204602,26842.904431877036,26836.945,26844.882596968804,26845.387718089023,26841.892093800838,26835.415,26844.439651218552,26849.298740056707,26843.031326900375
paths/path_fold1_20231012_120006.png,fold1,12,2023-10-12T12:00:06.343000+00:00,26839.754999999997,26852.985,26839.741651888482,26841.80172569172,26839.740145674736,26854.995000000003,26837.714181455332,26834.029653314967,26840.98517791741,26829.085,26844.140213142175,26817.312999392867,26839.47196868624
paths/path_fold1_20231012_200007.png,fold1,20,2023-10-12T20:00:07.771000+00:00,26711.605,26711.665,26713.22995492708,26707.433390990267,26711.30311093294,26711.665,26710.197228396653,26708.23491437295,26711.253028007777,26716.655,26709.888079842345,26706.620282866996,26709.04076904576
paths/path_fold1_20231013_040028.png,fold1,4,2023-10-13T04:00:28.371000+00:00,26783.955,26781.795,26782.61408184324,26785.87023176648,26784.246144710207,26781.795,26783.492548516937,26773.734651062412,26784.367572891915,26778.135000000002,26783.89531099146,26789.01210921127,26784.313645951224
paths/path_fold1_20231013_120001.png,fold1,12,2023-10-13T12:00:01.075000+00:00,26823.795,26824.114999999998,26824.50135171379,26822.30354013533,26824.438134136206,26818.095,26823.870922330236,26823.6934436338,26827.244020952323,26812.085,26822.47809574969,26823.417356503873,26823.451246173747
paths/path_fold1_20231013_200005.png,fold1,20,2023-10-13T20:00:05.748000+00:00,26773.025,26778.485,26771.645690624064,26769.65402422931,26772.72457022791,26781.225,26771.53662750478,26762.452027507,26772.21353977239,26784.995000000003,26770.61982796491,26771.335284671328,26771.805340413786
paths/path_fold2_20231014_040002.png,fold2,4,2023-10-14T04:00:02.225000+00:00,26931.855,26931.855,26930.109990724166,26932.462598655587,26932.66912295661,26928.004999999997,26930.535355117856,26939.858847732783,26931.760464580668,26929.205,26927.627299417643,26938.424294077533,26931.756963342505
paths/path_fold2_20231014_120113.png,fold2,12,2023-10-14T12:01:13.980000+00:00,26874.565000000002,26876.325,26875.108261438836,26874.327533011365,26878.103016129833,26872.364999999998,26875.26294980258,26872.50106077565,26874.469651054085,26868.235,26874.274982441424,26872.61839011268,26874.46615726396
paths/path_fold2_20231014_200005.png,fold2,20,2023-10-14T20:00:05.552000+00:00,26862.315000000002,26858.805,26862.50303829494,26860.35828272127,26861.451242565854,26858.805,26862.2941854644,26857.627869405816,26862.219694266892,26858.805,26862.87922203295,26862.135775173105,26862.21620206931
paths/path_fold2_20231015_040023.png,fold2,4,2023-10-15T04:00:23.838000+00:00,26881.855,26884.735,26881.624336331337,26882.430385709038,26882.66761237705,26889.215,26881.16595967775,26880.959585220717,26881.760640959474,26889.215,26883.22640064522,26885.38287183156,26881.757146221487
paths/path_fold2_20231015_120000.png,fold2,12,2023-10-15T12:00:00.828000+00:00,26851.335,26847.175,26850.854858755727,26849.897163713766,26849.943416757138,26841.535,26851.686063510548,26854.974469896326,26851.241217369443,26841.535,26851.07336600095,26853.260293238192,26851.237726599105
paths/path_fold2_20231015_200002.png,fold2,20,2023-10-15T20:00:02.264000+00:00,27046.754999999997,27030.355,27045.914233570158,27042.138441597297,27046.75947390716,27040.805,27047.118244069323,27036.58067763651,27046.6604498858,27038.605,27042.802440042844,27025.46971385294,27046.65693371017
