# HF tag search (re-run 2026-09-10T19:14:38Z); same query as round 3 (~18:54 UTC)
blobxiaoyao/MagSeven-ML-Ready-High-Frequency-Anomaly-Dataset-January-2026-sample | 2026-02-08 | gated False | 
carrierone/verilex-pm-microstructure | 2026-03-17 | gated False | order-book
chikingsley/l2-arctic-manual-v5.0-16k | 2026-03-07 | gated False | l2
chikingsley/l2-arctic-release-v5.0 | 2026-03-07 | gated False | l2
ckadzh8/pag-benchmark-data | 2026-05-24 | gated False | l2
commanderzee/1s-crypto-data | 2026-06-18 | gated False | crypto,binance
dataforge-labs/crypto-execution-costs | 2026-09-10 | gated False | perpetual-futures,order-book
dataforge-labs/crypto-options-surface | 2026-09-10 | gated False | order-book,cryptocurrency
delmiron27/cryptolake-binance-futures-bnb | 2026-08-22 | gated False | crypto,order-book,binance,futures
delmiron27/cryptolake-binance-futures-btc | 2026-08-22 | gated False | crypto,order-book,binance,futures
delmiron27/cryptolake-binance-futures-doge | 2026-08-22 | gated False | crypto,order-book,binance,futures
delmiron27/cryptolake-binance-futures-eth | 2026-08-22 | gated False | crypto,order-book,binance,futures
delmiron27/cryptolake-binance-futures-link | 2026-08-22 | gated False | crypto,order-book,binance,futures
delmiron27/cryptolake-binance-futures-ltc | 2026-08-22 | gated False | crypto,order-book,binance,futures
delmiron27/cryptolake-binance-futures-sol | 2026-08-22 | gated False | crypto,order-book,binance,futures
delmiron27/cryptolake-binance-futures-xrp | 2026-08-22 | gated False | crypto,order-book,binance,futures
delmiron27/recorder-binance-futures-bnb | 2026-08-22 | gated False | crypto,order-book,l2-data
delmiron27/recorder-binance-futures-btc | 2026-08-22 | gated False | crypto,order-book,l2-data
delmiron27/recorder-binance-futures-doge | 2026-08-22 | gated False | crypto,order-book,l2-data
delmiron27/recorder-binance-futures-eth | 2026-08-22 | gated False | crypto,order-book,l2-data
delmiron27/recorder-binance-futures-link | 2026-08-22 | gated False | crypto,order-book,l2-data
delmiron27/recorder-binance-futures-ltc | 2026-08-22 | gated False | crypto,order-book,l2-data
delmiron27/recorder-binance-futures-sol | 2026-08-22 | gated False | crypto,order-book,l2-data
delmiron27/recorder-binance-futures-xrp | 2026-08-22 | gated False | crypto,order-book,l2-data
delmiron27/recorder-bitget-perp | 2026-08-22 | gated False | crypto,order-book,l2-data
delmiron27/recorder-bybit-perp | 2026-08-22 | gated False | crypto,order-book,l2-data
delmiron27/recorder-gateio-perp | 2026-08-22 | gated False | crypto,order-book,l2-data
delmiron27/recorder-okx-perp | 2026-08-22 | gated False | crypto,order-book,l2-data
deusmos/cbb26-day-corpus-v1 | 2026-06-02 | gated False | cryptocurrency,order-book,level2
deusmos/cbb26-timeseries-db | 2026-06-10 | gated False | cryptocurrency,order-book,level2
endomorphosis/ipfs_jordan_laws | 2026-09-08 | gated False | lob
gregyoung14/openmarket-btc-polymarket | 2026-07-31 | gated False | binance
gude/market-resolutions-master-july14 | 2026-07-14 | gated False | crypto,binance
johnsmith414718/crypto-market-datasets | 2026-05-03 | gated False | crypto,binance
jponfiru/crypto-trading-bot-data | 2026-05-21 | gated False | crypto,binance
kachoio/polymarket-5-minute-crypto-up-down-markets | 2026-06-17 | gated False | crypto,order-book
kangkangchen/cross-day-mainforce-600809 | 2026-05-07 | gated False | level-2
kangkangchen/sponsor-flow-600809 | 2026-05-04 | gated False | level-2,order-book
kinzikdza/polymarket-updown-microstructure | 2026-06-25 | gated False | order-book
krish301/polymarket-crypto-trades-v1 | 2026-06-05 | gated False | crypto,orderbook
krish301/polymarket-raw-15m | 2026-06-04 | gated False | cryptocurrency,orderbook
krish301/polymarket-raw-1h | 2026-06-04 | gated False | cryptocurrency,orderbook
krish301/polymarket-raw-4h | 2026-06-04 | gated False | cryptocurrency,orderbook
krish301/polymarket-raw-5m | 2026-06-04 | gated False | cryptocurrency,orderbook
lanasx3/crypto-market-datasets | 2026-05-03 | gated False | crypto,binance
lerchen3/kalshi-orderbook-alpha | 2026-07-19 | gated False | order-book
linxy/CryptoCoin | 2026-09-10 | gated False | cryptocurrency,spot,binance
linxy/USDT-M_Perpetual_Futures | 2026-09-09 | gated False | cryptocurrency,futures,perpetual,binance
lokima/polymarket-btc-eth-5m-updown-8h | 2026-07-30 | gated False | cryptocurrency,limit-order-book,order-flow
marketlens/polymarket-btc-5m-l2-depth | 2026-08-14 | gated False | order-book,limit-order-book
marketlens/polymarket-world-cup-final-2026 | 2026-08-14 | gated False | order-book,limit-order-book
mingossx/polymarket-btc-updown | 2026-04-21 | gated False | crypto,orderbook
mingossx/polymarket-crypto-updown | 2026-04-21 | gated False | crypto,orderbook
naratron33/fable5-kalshi-l2 | 2026-09-10 | gated manual | order-book
neogenesislab/quant-v11-ensemble-6alpha-specs-2026 | 2026-05-04 | gated False | cryptocurrency,perpetual-futures,binance,binance-futures
oraclemangle/polymarket-canary-tape | 2026-07-29 | gated False | crypto,order-book
peernagy/lob_bench | 2025-05-29 | gated False | lob
polyorderbooks/polymarket-btc-5min-historical-l2 | 2026-08-25 | gated False | order-book,l2,limit-order-book,order-books
polyorderbooks/polymarket-crypto-5min-l2 | 2026-08-25 | gated False | order-book,order-books,limit-order-book,crypto
polyorderbooks/polymarket-crypto-5min-orderbooks | 2026-08-25 | gated False | order-book,limit-order-book,crypto,order-books
polyorderbooks/polymarket-crypto-updown-orderbooks-l2 | 2026-08-25 | gated False | order-book,order-books,limit-order-book,crypto
predict-quant/binance-future-orderbook | 2026-04-09 | gated False | orderbook,binance
rfab85/crypto-5s-market-data-adausdc-sample | 2026-08-27 | gated False | cryptocurrency,order-book
roadz/solusdt_180_days | 2024-10-22 | gated False | cryptocurrency,Binance
rogerdehe/klines-binance | 2026-09-09 | gated False | crypto,cryptocurrency,binance,futures
rogerdehe/mktdata-binance-2026 | 2026-09-10 | gated False | crypto,cryptocurrency,orderbook,order-book,l2,perpetual,binance
rogerdehe/mktdata-lbank-2026 | 2026-09-10 | gated False | crypto,cryptocurrency,orderbook,order-book,l2,perpetual
rogerdehe/mktdata-lighter-2026 | 2026-08-02 | gated False | crypto,cryptocurrency,orderbook,order-book,l2,perpetual
shetty11/lob_bench | 2026-02-03 | gated False | lob
shubhxho/cmf-15m-binance | 2026-08-19 | gated False | binance,crypto
tmmycruise/autoresearch-crypto-data | 2026-08-28 | gated False | crypto,binance
tradecatlabs/binance-futures-ohlcv-2018-2026 | 2026-03-01 | gated False | cryptocurrency,binance,futures
trentmkelly/polymarket_crypto_derivatives | 2026-05-12 | gated False | crypto,order-book
tripolskypetr/tradingview-ideas-signals | 2026-07-19 | gated False | crypto,binance
venvoo/china-a-share-l2-level2-limit-order-book-tick-data | 2026-09-06 | gated manual | level-2,limit-order-book
vpcapitano/polymarket-genesis-liquidity | 2026-08-05 | gated False | order-book
wukong1993/binance-futures-ohlcv-2018-2026 | 2026-01-18 | gated False | cryptocurrency,binance,futures
ywf1112/polymarket-btc-updown | 2026-04-29 | gated False | crypto,orderbook
