timestamp,split,model,h,n,p95_ms,p99_ms,max_ms,mean_ms,shared,train_device,predict_device,lib_version,threads
2026-09-01T23:22:00,TEST,autots,2,2728,3.7978373,4.0123691599999995,6.015459,3.6507936609237537,True,GPU,CPU,autots 1.0.4,lib_default
2026-09-01T23:22:00,TEST,autots,3,2728,3.7978373,4.0123691599999995,6.015459,3.6507936609237537,True,GPU,CPU,autots 1.0.4,lib_default
2026-09-01T23:22:14,TEST,cat,1,2728,1.51119935,1.60767345,2.018739,0.9915156282991202,False,GPU,CPU,catboost 1.2.10,lib_default
2026-09-01T23:22:14,TEST,cat,2,2728,1.00270845,1.0086728999999999,1.243808,0.9537088607038123,False,GPU,CPU,catboost 1.2.10,lib_default
2026-09-01T23:22:14,TEST,cat,3,2728,0.99824705,1.00802602,1.346885,0.947736801686217,False,GPU,CPU,catboost 1.2.10,lib_default
2026-09-01T23:22:29,TEST,lgbm,1,2728,1.58622765,5.439160020000001,9.581133,1.4256554908357773,False,GPU,CPU,lightgbm 4.7.0,lib_default
2026-09-01T23:22:29,TEST,lgbm,2,2728,1.3111811500000001,5.53016519,12.318566,1.3781710659824047,False,GPU,CPU,lightgbm 4.7.0,lib_default
2026-09-01T23:22:29,TEST,lgbm,3,2728,1.3114264,5.3506462900000065,9.506106,1.37121529728739,False,GPU,CPU,lightgbm 4.7.0,lib_default
2026-09-01T23:22:36,TEST,lstm,1,2728,0.894077,0.9030182800000001,0.946972,0.7950324325513197,True,GPU,GPU,torch 2.11.0+cu128,lib_default
2026-09-01T23:22:36,TEST,lstm,2,2728,0.894077,0.9030182800000001,0.946972,0.7950324325513197,True,GPU,GPU,torch 2.11.0+cu128,lib_default
2026-09-01T23:22:36,TEST,lstm,3,2728,0.894077,0.9030182800000001,0.946972,0.7950324325513197,True,GPU,GPU,torch 2.11.0+cu128,lib_default
2026-09-01T23:37:40,TEST,tfm,1,2728,324.45933155,329.52632542,339.570416,320.01162605095305,True,GPU,GPU,timesfm,lib_default
2026-09-01T23:37:40,TEST,tfm,2,2728,324.45933155,329.52632542,339.570416,320.01162605095305,True,GPU,GPU,timesfm,lib_default
2026-09-01T23:37:40,TEST,tfm,3,2728,324.45933155,329.52632542,339.570416,320.01162605095305,True,GPU,GPU,timesfm,lib_default
2026-09-01T23:37:46,TEST,xgb,1,2728,0.46402405,0.7550974100000001,8.807281,0.47941862316715533,False,GPU,GPU,xgboost 3.4.1,lib_default
2026-09-01T23:37:46,TEST,xgb,2,2728,0.53034075,0.75068657,8.828323,0.4769945692815249,False,GPU,GPU,xgboost 3.4.1,lib_default
2026-09-01T23:37:46,TEST,xgb,3,2728,0.4705451,0.7557952,8.774583,0.48127570271261,False,GPU,GPU,xgboost 3.4.1,lib_default
2026-09-01T23:37:58,TEST,xgbrf,1,2728,0.57920245,0.87379885,8.771427,0.5940566997800587,False,GPU,GPU,xgboost 3.4.1,lib_default
2026-09-01T23:37:58,TEST,xgbrf,2,2728,0.5754061500000001,0.87508694,8.904494,0.596851473973607,False,GPU,GPU,xgboost 3.4.1,lib_default
2026-09-01T23:37:58,TEST,xgbrf,3,2728,0.6078612500000001,0.9043633600000001,8.895557,0.6002288764662757,False,GPU,GPU,xgboost 3.4.1,lib_default
