start_position,origin_id,n_predictions,single_origin_sample,duration_ms
0,181104,1,1,94.73404596792534
1,181105,23,0,93.03330298280343
24,181128,1,1,92.80054201371968
25,181129,24,0,92.99351001391187
49,181153,1,1,92.809377994854
50,181154,23,0,92.85232698312029
73,181177,1,1,92.9886200465262
74,181178,24,0,92.75471698492765
98,181202,1,1,92.97168900957331
99,181203,23,0,92.78627502499148
122,181226,1,1,92.84495399333537
123,181227,24,0,92.88963698782027
147,181251,1,1,92.60552999330685
148,181252,23,0,93.35112205008045
171,181275,1,1,92.83034695545211
172,181276,24,0,92.8367690066807
196,181300,1,1,92.83837204566225
197,181301,24,0,92.86655398318544
221,181325,1,1,92.96419500606135
222,181326,23,0,92.93972002342343
245,181349,1,1,93.04580598836765
246,181350,24,0,92.88628998911008
270,181374,1,1,95.86306801065803
271,181375,23,0,93.93917198758572
294,181398,1,1,93.13710604328662
295,181399,24,0,93.09884498361498
319,181423,1,1,93.31153897801414
320,181424,23,0,92.7804849925451
343,181447,1,1,92.98709698487073
344,181448,24,0,92.87419804604724
368,181472,1,1,93.41165400110185
369,181473,24,0,92.91983203729615
393,181497,1,1,92.91660698363557
394,181498,23,0,92.74417802225798
417,181521,1,1,93.35632197326049
418,181522,24,0,93.1143129710108
442,181546,1,1,92.96718100085855
443,181547,23,0,92.84765901975334
466,181570,1,1,93.11259997775778
467,181571,24,0,92.78390998952091
491,181595,1,1,93.15671201329678
492,181596,23,0,92.97429298749194
515,181619,1,1,92.97691797837615
516,181620,24,0,93.54580304352567
540,181644,1,1,92.84913202282041
541,181645,23,0,92.88914600620046
564,181668,1,1,93.0487320292741
565,181669,24,0,92.87318703718483
589,181693,1,1,93.14881695900112
590,181694,24,0,92.96671999618411
614,181718,1,1,94.99877598136663
615,181719,23,0,94.42222799407318
638,181742,1,1,93.65880297264084
639,181743,24,0,93.06838799966499
663,181767,1,1,92.78495301259682
664,181768,23,0,92.78728702338412
687,181791,1,1,92.84213901264593
688,181792,24,0,92.69863198278472
712,181816,1,1,92.99356903648004
713,181817,23,0,92.73143304744735
