start_position,origin_id,n_predictions,single_origin_sample,duration_ms
0,149936,1,1,94.43948400439695
1,149937,29,0,93.54079799959436
30,149966,1,1,93.51613197941333
31,149967,29,0,93.14344200538471
60,149996,1,1,93.62918295664713
61,149997,30,0,93.18470797734335
91,150027,1,1,93.51314703235403
92,150028,29,0,93.45489897532389
121,150057,1,1,93.51718495599926
122,150058,30,0,93.50842796266079
152,150088,1,1,93.68437499506399
153,150089,29,0,93.83205795893446
182,150118,1,1,93.84486201452091
183,150119,30,0,93.18160195834935
213,150149,1,1,93.83996302494779
214,150150,29,0,93.32066000206396
243,150179,1,1,93.45847502117977
244,150180,30,0,93.52706297067925
274,150210,1,1,93.4978990117088
275,150211,29,0,93.38671201840043
304,150240,1,1,93.39757199632004
305,150241,30,0,93.41340203536674
335,150271,1,1,93.62318099010736
336,150272,29,0,93.16339896759018
365,150301,1,1,93.5152510064654
366,150302,29,0,93.58753403648734
395,150331,1,1,93.41984399361536
396,150332,30,0,93.58100197277963
426,150362,1,1,95.08157498203218
427,150363,29,0,93.5688300523907
456,150392,1,1,93.54570700088516
457,150393,30,0,93.8362359884195
487,150423,1,1,93.24411797570065
488,150424,29,0,93.70012301951647
517,150453,1,1,93.67099002702162
518,150454,30,0,93.05178100476041
548,150484,1,1,97.25759999128059
549,150485,29,0,93.50361896213144
578,150514,1,1,93.53372501209378
579,150515,30,0,93.08033500565216
609,150545,1,1,93.34174898685887
610,150546,29,0,93.50934997200966
639,150575,1,1,93.15037401393056
640,150576,30,0,93.07972301030532
670,150606,1,1,94.01144098956138
671,150607,29,0,92.87061600480229
700,150636,1,1,93.20621797814965
701,150637,30,0,93.14595599425957
731,150667,1,1,93.12038903590292
732,150668,29,0,92.96706394525245
761,150697,1,1,93.1160610052757
762,150698,29,0,92.77941699838266
791,150727,1,1,93.17510999972001
792,150728,30,0,94.02018698165193
822,150758,1,1,92.9008320090361
823,150759,29,0,93.17326702876016
852,150788,1,1,93.12365500954911
853,150789,30,0,93.10097299749032
883,150819,1,1,93.40900398092344
884,150820,29,0,94.60219601169229
913,150849,1,1,94.477514969185
914,150850,30,0,93.04767398862168
944,150880,1,1,93.08679704554379
945,150881,29,0,92.73642703192309
974,150910,1,1,93.11007900396362
975,150911,30,0,92.9683170397766
1005,150941,1,1,93.67519698571414
1006,150942,29,0,92.95822802232578
1035,150971,1,1,93.02897000452504
1036,150972,30,0,92.82826696289703
1066,151002,1,1,93.0782999494113
1067,151003,29,0,93.01501302979887
1096,151032,1,1,93.4602590277791
1097,151033,29,0,93.13082799781114
