configuration,n_ext,rmse_mean,MedianGain_prune_vs_unprune,WinRate,P10Gain,WorstGain,eps,win
unprune,8,"[[45.4946, 63.6636, 78.0582], [51.2946, 70.7502, 85.1557], [59.6002, 86.5825, 108.5228], [86.4827, 121.2454, 150.0266], [101.9197, 131.9993, 153.1535]]",,,,,,
prune,5,"[[45.4837, 63.663, 77.7579], [51.2089, 70.7659, 85.057], [60.4921, 88.7603, 112.3508], [86.6264, 121.1486, 150.5973], [102.3109, 133.4461, 154.7228]]",-0.16607588969232978,0.4,-2.1078198236624734,-3.5274213820042144,0.005,unprune
