configuration,n_ext,rmse_mean,MedianGain_prune_vs_unprune,WinRate,P10Gain,WorstGain,eps,win
unprune,40,"[[46.0039, 64.132, 78.6271], [51.8667, 72.2599, 86.246], [60.9891, 88.7909, 109.0874], [87.2564, 121.0736, 148.2846], [103.1203, 133.1198, 153.0369]]",,,,,,
prune,21,"[[46.2355, 64.6852, 78.8985], [51.7382, 71.7499, 86.0336], [60.477, 87.015, 106.9591], [87.2233, 120.481, 147.6954], [103.1835, 133.3009, 153.0609]]",0.24628025909011475,0.6,-0.44014082776674623,-0.8626466906099362,0.6807233520258263,prune
