col,PI_h1,PI_h2,PI_h3,keep
vwap_amt_gap_1,0.008418708148397513,-0.001962149479136125,0.0,False
vwap_amt_gap_15,0.0,0.0,0.0,False
vwap_amt_gap_60,0.0,-0.004401137891998512,-0.06448289054285776,False
vwap_amt_gap_240,0.0,-0.0013146043731045627,0.021891182008057324,False
ret_60,-0.003095273192881128,0.003485102459739172,0.0035108133273051103,True
ret_240,-0.006355230112821649,-0.006062854742244402,0.004214472361984652,False
ret_1440,0.0,0.0,0.0,False
log_rv15_rv240,-0.00725242060426486,-0.030697706110241068,-0.011176793221977732,False
log_rv60_rv1440,0.0,0.008228559664426408,0.0,False
ret_skew_60,0.007661212884476261,0.012365751086647947,0.007361703708104035,True
dd_240,-0.0009105037632745431,-0.02511602084572928,-0.03098286321463206,False
ru_240,0.0,-0.017329881275827574,0.020625719881877558,False
log_c_ema60,-0.0016813300290484297,-0.0026949947459703103,0.0059657332553986935,False
log_c_ema240,0.0,0.0,-0.03042162623673524,False
log_c_ema1440,-0.002799498204609563,0.0,0.0007266422430234343,False
log_ema60_ema240,0.0,0.0,0.003221300895006607,False
hma_slope64_volnorm,-0.0021674394107596604,-0.01613622648097864,-0.008783315061161071,False
rsi240_centered,0.0008657957692363993,0.0,0.004111305125671076,True
macd_hist_60_240_60_volnorm,0.0,-0.0036325530436798203,-0.018020584480510138,False
bb_pctb_20,0.01220437549783071,0.001079743825253369,0.0,True
bb_pctb_60,-0.0003362532525888658,-0.025177277251363723,0.0,False
bb_logbw_20,-0.0009721916457389549,-0.0030296025046894215,0.0,False
log_atr14_c,0.0,0.0,-0.0015771933914786966,False
log_atr14_rv14,0.0,0.0,-0.002957276742023396,False
kcw_20,0.0,-0.0024491445630587805,0.0,False
mfi14_centered,0.0,-0.0035230437345793084,-0.024133238933814027,False
mfi60_centered,0.0,0.004162841910963759,-0.0017825254787169342,False
ad_vwclv_5,0.0,0.0,0.0,False
ad_vwclv_15,-0.0004478681629223047,-0.006568486143071557,-0.01664955425686306,False
ad_vwclv_60,0.0,0.0,-0.0004831969358747301,False
psar_dir,0.0,-0.025577771425067414,-0.05994456945620641,False
psar_logdist,-0.0010030495403417679,0.0,0.0,False
psar_age_log,0.0,-0.00020556522232576904,0.011821577707214223,False
dow_sin,0.0,0.0,0.0,False
dow_cos,0.0,0.0,0.0,False
log_rv60_med2d,0.0,7.730182444258087e-05,0.0,False
log_range_240,0.0,0.0,0.00945957148909334,False
r5_1,-0.001476343262496016,0.010534343911738612,0.01921383486917705,True
r5_12,0.0,-0.0003414545149382775,0.022510578627342664,False
log_c5_ema5_12,0.0,-0.003119081607451335,0.0,False
