configuration,n_ext,rmse_mean,MedianGain_prune_vs_unprune,WinRate,P10Gain,WorstGain,eps,win
unprune,0,"[[49.1026, 72.8833, 94.9337], [56.322, 82.5809, 106.2065], [62.9209, 96.6071, 123.9126], [99.854, 153.3722, 205.3662], [115.5472, 168.8811, 218.8232]]",,,,,,
prune,0,"[[49.1026, 72.8833, 94.9337], [56.322, 82.5809, 106.2065], [62.9209, 96.6071, 123.9126], [99.854, 153.3722, 205.3662], [115.5472, 168.8811, 218.8232]]",0.0,0.0,0.0,0.0,0.005,prune
