branch,n_ext,n_b0,ext_cols,which,MedianGain_vs_E0,rmse_mean
tfm_b0,0,72,,prune,-17.7253,"[[49.1026, 72.8833, 94.9337], [56.322, 82.5809, 106.2065], [62.9209, 96.6071, 123.9126], [99.854, 153.3722, 205.3662], [115.5472, 168.8811, 218.8232]]"
tfm_ext,0,0,,prune,-1.9958,"[[45.6344, 63.6964, 77.5673], [52.0258, 71.9323, 86.3131], [58.2727, 84.3594, 102.6264], [87.1086, 120.1936, 147.2516], [103.3938, 132.8573, 152.4506]]"
