configuration,system,n_ext,n_new,rmse_mean,MedianGain_prune_vs_unprune,WinRate,P10Gain,WorstGain,eps,win
unprune,cat(S0_cat ∪ F_raw),168,163,"[[73.0616, 102.122, 125.3551], [47.6303, 68.26, 82.0651], [77.5114, 108.8136, 133.6601], [45.9543, 65.8094, 80.4126], [25.1917, 35.6809, 43.2976]]",,,,,,
prune,cat(S0_cat ∪ F_pruned),61,56,"[[73.0559, 102.0842, 125.417], [47.5866, 68.2395, 82.008], [77.4727, 108.7639, 133.6805], [45.9588, 65.8137, 80.4686], [25.1924, 35.6818, 43.3022]]",-0.002613259348338559,0.4666666666666667,-0.0357653266900737,-0.0696828236754099,0.038933617797944874,prune
