configuration,system,n_ext,n_new,rmse_mean,MedianGain_prune_vs_unprune,WinRate,P10Gain,WorstGain,eps,win
unprune,lstm(S0_lstm ∪ F_raw),180,157,"[[73.3276, 102.2787, 125.4656], [47.7034, 68.5253, 82.3667], [77.7551, 109.1422, 134.1413], [45.9517, 65.9105, 80.5809], [25.2469, 35.6922, 43.343]]",,,,,,
prune,lstm(S0_lstm ∪ F_pruned),98,75,"[[73.3133, 102.3809, 125.811], [47.7637, 68.5902, 82.5179], [77.7737, 109.226, 134.2239], [45.9574, 65.9026, 80.5488], [25.2648, 35.6936, 43.3295]]",-0.06156923346749554,0.26666666666666666,-0.16070286101566023,-0.2753434477170247,0.10390277810907741,prune
