order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
109,log_range_5,log_range_5,L,0.001581460280608571,0.5333333333333333,-0.02449369989758754,-0.030492888945654606,0.03862418343056895,0.07523120468551081,,KEEP,0.006993252662272473,190,"[[73.0393, 101.9094, 124.9412], [47.6038, 68.3152, 82.1366], [77.5607, 108.895, 133.6811], [45.9003, 65.813, 80.4661], [25.1916, 35.6887, 43.3146]]","[[0.0016, 0.0024, -0.0063], [-0.0257, 0.003, -0.0305], [0.002, -0.0227, 0.0105], [0.0073, 0.0101, 0.0055], [-0.007, -0.0123, -0.0135]]",20260904_224216_loop_xgbrf_log_range_5
110,log_range_8,log_range_8,L,0.004130919694722568,0.6,-0.010983525525349869,-0.014001818403186483,0.027130899027738575,0.06502666161067872,,KEEP,0.006993252662272473,191,"[[73.0418, 101.9099, 124.933], [47.5906, 68.3231, 82.1211], [77.5557, 108.8676, 133.6903], [45.9049, 65.8222, 80.4649], [25.1893, 35.6872, 43.3124]]","[[-0.0035, -0.0004, 0.0066], [0.0278, -0.0115, 0.0189], [0.0064, 0.0251, -0.0069], [-0.0102, -0.014, 0.0015], [0.0092, 0.0041, 0.0052]]",20260904_224334_loop_xgbrf_log_range_8
111,log_range_10,log_range_10,L,-0.0014111341189115834,0.4666666666666667,-0.011500487699600548,-0.019313002140664004,0.027314375702702787,0.06758198187103437,,KEEP,0.006993252662272473,192,"[[73.0488, 101.9295, 124.9233], [47.5961, 68.3241, 82.1196], [77.5577, 108.8647, 133.6882], [45.9081, 65.8202, 80.4741], [25.191, 35.6854, 43.3065]]","[[-0.0096, -0.0193, 0.0078], [-0.0115, -0.0014, 0.0019], [-0.0025, 0.0027, 0.0016], [-0.0068, 0.0029, -0.0115], [-0.0068, 0.0052, 0.0137]]",20260904_224432_loop_xgbrf_log_range_10
112,log_range_15,log_range_15,L,0.009140685117092762,0.6666666666666666,-0.017940469518773483,-0.020452134875870165,0.034858481881572256,0.06545279747741661,,KEEP,0.006993252662272473,193,"[[73.0411, 101.9199, 124.9412], [47.5891, 68.3178, 82.1272], [77.5489, 108.8869, 133.697], [45.9064, 65.8138, 80.4657], [25.1897, 35.6819, 43.3153]]","[[0.0106, 0.0095, -0.0143], [0.0146, 0.0091, -0.0092], [0.0114, -0.0203, -0.0065], [0.0036, 0.0098, 0.0104], [0.0053, 0.0098, -0.0205]]",20260904_224552_loop_xgbrf_log_range_15
113,ret_skew_3,ret_skew_3,M,-0.0017940560594453814,0.4666666666666667,-0.015953453280506125,-0.028362367949252842,0.03561494376299601,0.08854667537678829,,KEEP,0.006993252662272473,194,"[[73.041, 101.8981, 124.9377], [47.5922, 68.319, 82.1192], [77.5647, 108.8419, 133.6771], [45.9077, 65.8078, 80.4886], [25.1911, 35.6852, 43.3171]]","[[0.0001, 0.0213, 0.0028], [-0.0064, -0.0018, 0.0097], [-0.0204, 0.0413, 0.0149], [-0.0028, 0.0091, -0.0284], [-0.0055, -0.0093, -0.004]]",20260904_224703_loop_xgbrf_ret_skew_3
114,ret_skew_4,ret_skew_4,M,0.0026101979963222277,0.5333333333333333,-0.01849376857351981,-0.025852091500078167,0.044800488510854386,0.06296052366342453,,KEEP,0.006993252662272473,195,"[[73.0429, 101.9112, 124.9344], [47.5941, 68.3234, 82.1035], [77.5651, 108.87, 133.6376], [45.9064, 65.8225, 80.4724], [25.1894, 35.6818, 43.3084]]","[[-0.0026, -0.0128, 0.0026], [-0.0041, -0.0063, 0.0192], [-0.0005, -0.0259, 0.0296], [0.0028, -0.0223, 0.02], [0.0067, 0.0094, 0.02]]",20260904_224758_loop_xgbrf_ret_skew_4
115,ret_skew_5,ret_skew_5,M,0.0014856657865824907,0.5333333333333333,-0.014892153710595046,-0.016844825797801555,0.04893548920188451,0.07553341088080145,,KEEP,0.006993252662272473,196,"[[73.0528, 101.927, 124.9555], [47.5964, 68.328, 82.1022], [77.5568, 108.8561, 133.6562], [45.9034, 65.8093, 80.4691], [25.1877, 35.6772, 43.3141]]","[[-0.0135, -0.0155, -0.0168], [-0.0047, -0.0067, 0.0015], [0.0107, 0.0128, -0.0139], [0.0065, 0.0201, 0.0041], [0.0068, 0.013, -0.0132]]",20260904_224901_loop_xgbrf_ret_skew_5
116,ret_skew_8,ret_skew_8,M,-0.003934415378203937,0.4666666666666667,-0.01150328370864706,-0.016892891456898873,0.040561528873028774,0.08070114042341148,,KEEP,0.006993252662272473,197,"[[73.0556, 101.9252, 124.9523], [47.584, 68.3157, 82.1117], [77.5471, 108.8224, 133.6788], [45.9059, 65.8168, 80.4758], [25.1893, 35.681, 43.3021]]","[[-0.0039, 0.0017, 0.0025], [0.0261, 0.0179, -0.0115], [0.0125, 0.031, -0.0169], [-0.0055, -0.0114, -0.0084], [-0.0064, -0.0108, 0.0277]]",20260904_225012_loop_xgbrf_ret_skew_8
117,ret_skew_10,ret_skew_10,M,0.0034366477415948005,0.6666666666666666,-0.014506794176041282,-0.034095496115393864,0.04434146607569245,0.07241462607393556,,KEEP,0.006993252662272473,198,"[[73.0502, 101.9166, 124.9502], [47.5901, 68.3113, 82.1231], [77.5466, 108.8595, 133.6722], [45.9037, 65.8145, 80.4718], [25.187, 35.6864, 43.3053]]","[[0.0075, 0.0085, 0.0017], [-0.0129, 0.0064, -0.0138], [0.0007, -0.0341, 0.0049], [0.0049, 0.0034, 0.005], [0.009, -0.015, -0.0073]]",20260904_225131_loop_xgbrf_ret_skew_10
118,ret_skew_15,ret_skew_15,M,-0.004394603916302309,0.26666666666666666,-0.011942968594365055,-0.013246045964954156,0.03929503838139281,0.06340133802842374,,KEEP,0.006993252662272473,199,"[[73.0541, 101.9194, 124.9543], [47.5888, 68.3148, 82.1095], [77.5548, 108.8739, 133.6781], [45.9057, 65.8222, 80.4658], [25.1895, 35.6817, 43.3105]]","[[-0.0055, -0.0027, -0.0033], [0.0027, -0.005, 0.0165], [-0.0106, -0.0132, -0.0044], [-0.0044, -0.0116, 0.0074], [-0.0097, 0.0129, -0.0121]]",20260904_225247_loop_xgbrf_ret_skew_15
119,hma_slope1_volnorm,hma_slope1_volnorm,N,0.0010210730530757495,0.5333333333333333,-0.014608743275461578,-0.021919551609150822,0.03115444798882372,0.07392596514149696,,KEEP,0.006993252662272473,200,"[[73.0484, 101.9072, 124.939], [47.592, 68.3236, 82.1087], [77.5718, 108.8578, 133.6831], [45.9106, 65.8181, 80.4785], [25.1906, 35.6797, 43.3098]]","[[0.0078, 0.0119, 0.0122], [-0.0066, -0.0129, 0.001], [-0.0219, 0.0148, -0.0037], [-0.0106, 0.0062, -0.0158], [-0.0047, 0.0058, 0.0017]]",20260904_225356_loop_xgbrf_hma_slope1_volnorm
120,hma_slope2_volnorm,hma_slope2_volnorm,N,-0.003740998727530531,0.4,-0.014468013957493753,-0.029375065209502615,0.04563700964750339,0.06552575795575333,,KEEP,0.006993252662272473,201,"[[73.0508, 101.9, 124.9488], [47.5937, 68.3104, 82.1025], [77.56, 108.8755, 133.6884], [45.9126, 65.8212, 80.4629], [25.1864, 35.6902, 43.3149]]","[[-0.0033, 0.0071, -0.0078], [-0.0037, 0.0192, 0.0075], [0.0151, -0.0162, -0.004], [-0.0045, -0.0047, 0.0194], [0.0169, -0.0294, -0.0119]]",20260904_225505_loop_xgbrf_hma_slope2_volnorm
121,hma_slope3_volnorm,hma_slope3_volnorm,N,0.0032254441003409795,0.6666666666666666,-0.014635089804850843,-0.018332920611618952,0.04639267527224433,0.08488285828545106,,KEEP,0.006993252662272473,202,"[[73.0494, 101.9167, 124.9301], [47.5939, 68.3099, 82.1125], [77.5554, 108.8459, 133.6928], [45.9073, 65.8128, 80.4603], [25.191, 35.6864, 43.3071]]","[[0.002, -0.0163, 0.015], [-0.0003, 0.0008, -0.0121], [0.0059, 0.0271, -0.0033], [0.0116, 0.0128, 0.0032], [-0.0183, 0.0105, 0.0181]]",20260904_225611_loop_xgbrf_hma_slope3_volnorm
122,hma_slope4_volnorm,hma_slope4_volnorm,N,0.0019176171663026764,0.6666666666666666,-0.010335979055278166,-0.019862107373880278,0.04804806014609975,0.09467549194446256,,KEEP,0.006993252662272473,203,"[[73.0387, 101.9187, 124.9444], [47.5929, 68.3065, 82.111], [77.5541, 108.8352, 133.6844], [45.9113, 65.8074, 80.4763], [25.1871, 35.6839, 43.3079]]","[[0.0146, -0.002, -0.0115], [0.0019, 0.005, 0.0018], [0.0017, 0.0098, 0.0063], [-0.0086, 0.0082, -0.0199], [0.0154, 0.0071, -0.0019]]",20260904_225711_loop_xgbrf_hma_slope4_volnorm
123,hma_slope5_volnorm,hma_slope5_volnorm,N,0.0018580333550843875,0.6,-0.010016353735720074,-0.01279495588535351,0.04188218309522096,0.08236123594408395,,KEEP,0.006993252662272473,204,"[[73.042, 101.9043, 124.937], [47.5911, 68.3153, 82.116], [77.5553, 108.8224, 133.6742], [45.9101, 65.8157, 80.4748], [25.1867, 35.6823, 43.3106]]","[[-0.0046, 0.0141, 0.006], [0.004, -0.0128, -0.0061], [-0.0015, 0.0118, 0.0076], [0.0025, -0.0126, 0.0019], [0.0015, 0.0046, -0.0061]]",20260904_225821_loop_xgbrf_hma_slope5_volnorm
124,hma_slope8_volnorm,hma_slope8_volnorm,N,-0.0004842006818162048,0.4666666666666667,-0.007287815212193571,-0.02830411485539308,0.03811552663695039,0.07821096270070882,,KEEP,0.006993252662272473,205,"[[73.0328, 101.9129, 124.9438], [47.5883, 68.3156, 82.1107], [77.5378, 108.8532, 133.68], [45.9116, 65.8073, 80.4759], [25.1859, 35.6843, 43.3038]]","[[0.0126, -0.0084, -0.0055], [0.0057, -0.0005, 0.0065], [0.0226, -0.0283, -0.0043], [-0.0033, 0.0128, -0.0014], [0.0033, -0.0056, 0.0157]]",20260904_225944_loop_xgbrf_hma_slope8_volnorm
125,hma_slope10_volnorm,hma_slope10_volnorm,N,-0.0065025112795158435,0.4,-0.015451457442896555,-0.03393658944721434,0.038614746724430216,0.08524657914900091,,KEEP,0.006993252662272473,206,"[[73.0372, 101.9107, 124.9235], [47.5959, 68.3123, 82.1225], [77.5494, 108.8455, 133.6994], [45.9146, 65.8031, 80.4851], [25.1945, 35.6807, 43.3102]]","[[-0.006, 0.0021, 0.0162], [-0.0158, 0.0048, -0.0144], [-0.0149, 0.007, -0.0145], [-0.0065, 0.0064, -0.0114], [-0.0339, 0.0099, -0.0148]]",20260904_230100_loop_xgbrf_hma_slope10_volnorm
126,hma_slope15_volnorm,hma_slope15_volnorm,N,-0.0003470216468404175,0.4666666666666667,-0.014147308970584582,-0.015863594896869948,0.046230731788254875,0.070912301682724,,KEEP,0.006993252662272473,207,"[[73.0488, 101.9111, 124.9342], [47.5882, 68.31, 82.1147], [77.5601, 108.8611, 133.7012], [45.9133, 65.8053, 80.4622], [25.1894, 35.6828, 43.3093]]","[[-0.0159, -0.0003, -0.0085], [0.0162, 0.0033, 0.0096], [-0.0138, -0.0143, -0.0013], [0.0029, -0.0034, 0.0284], [0.0202, -0.0058, 0.0023]]",20260904_230210_loop_xgbrf_hma_slope15_volnorm
127,macd_hist_2_5_2_volnorm,macd_hist_2_5_2_volnorm,O,-0.00558732640656423,0.2,-0.015147535736850237,-0.017039039412103385,0.032044928144092655,0.06671155144851726,,KEEP,0.006993252662272473,208,"[[73.0513, 101.9148, 124.9539], [47.5963, 68.3197, 82.1093], [77.561, 108.8657, 133.695], [45.9104, 65.809, 80.4729], [25.1913, 35.6856, 43.3129]]","[[-0.0034, -0.0037, -0.0158], [-0.017, -0.0142, 0.0065], [-0.0011, -0.0042, 0.0046], [0.0063, -0.0056, -0.0133], [-0.0077, -0.0078, -0.0084]]",20260904_230320_loop_xgbrf_macd_hist_2_5_2_volnorm
128,macd_hist_2_8_3_volnorm,macd_hist_2_8_3_volnorm,O,0.0052172078054080195,0.8,-0.009120257248427244,-0.011141672861336716,0.049411924622622116,0.08329393454666878,,KEEP,0.006993252662272473,209,"[[73.0461, 101.9262, 124.9515], [47.5938, 68.2973, 82.1167], [77.5445, 108.8541, 133.6837], [45.9063, 65.8151, 80.4687], [25.1913, 35.6855, 43.3063]]","[[0.007, -0.0111, 0.0019], [0.0052, 0.0328, -0.0089], [0.0213, 0.0107, 0.0085], [0.0088, -0.0092, 0.0052], [0.0002, 0.0003, 0.0153]]",20260904_230430_loop_xgbrf_macd_hist_2_8_3_volnorm
129,macd_hist_3_10_3_volnorm,macd_hist_3_10_3_volnorm,O,-0.0017619346953212656,0.4666666666666667,-0.01737438794565005,-0.018027381179486213,0.03803769520082101,0.070116853627189,,KEEP,0.006993252662272473,210,"[[73.0394, 101.921, 124.974], [47.586, 68.3085, 82.1076], [77.5463, 108.862, 133.7026], [45.9146, 65.8034, 80.4779], [25.1917, 35.6848, 43.2996]]","[[0.0092, 0.0051, -0.018], [0.0163, -0.0165, 0.0111], [-0.0024, -0.0073, -0.0142], [-0.018, 0.0177, -0.0114], [-0.0018, 0.0017, 0.0153]]",20260904_230541_loop_xgbrf_macd_hist_3_10_3_volnorm
130,macd_hist_4_10_4_volnorm,macd_hist_4_10_4_volnorm,O,-0.0036677488985947804,0.4,-0.010473142223452747,-0.012648493801026284,0.03577186114185338,0.0796838908139974,,KEEP,0.006993252662272473,211,"[[73.0389, 101.9245, 124.944], [47.588, 68.3172, 82.1116], [77.5516, 108.8516, 133.7155], [45.9163, 65.8104, 80.4769], [25.1915, 35.6823, 43.3041]]","[[0.0007, -0.0035, 0.024], [-0.0042, -0.0126, -0.0049], [-0.0068, 0.0096, -0.0096], [-0.0037, -0.0106, 0.0012], [0.0008, 0.0071, -0.0102]]",20260904_230651_loop_xgbrf_macd_hist_4_10_4_volnorm
131,macd_hist_5_15_5_volnorm,macd_hist_5_15_5_volnorm,O,-0.0005227258096818233,0.4666666666666667,-0.009555585533242983,-0.01544989544812747,0.04523443157803397,0.07916158153258301,,KEEP,0.006993252662272473,212,"[[73.0437, 101.9292, 124.9504], [47.5883, 68.3066, 82.0998], [77.5538, 108.8521, 133.6966], [45.91, 65.8085, 80.4721], [25.189, 35.6878, 43.3091]]","[[-0.0065, -0.0046, -0.0051], [-0.0006, 0.0155, 0.0144], [-0.0029, -0.0005, 0.0141], [0.0137, 0.0029, 0.006], [0.0097, -0.0154, -0.0116]]",20260904_230751_loop_xgbrf_macd_hist_5_15_5_volnorm
132,psar_dir_2,psar_dir_2,P,0.0038350133126252572,0.6,-0.01328756220581262,-0.016229912445209216,0.05074081025802091,0.07537739131860954,,KEEP,0.006993252662272473,213,"[[73.0375, 101.909, 124.9445], [47.5912, 68.3037, 82.0943], [77.5508, 108.862, 133.6787], [45.9174, 65.8082, 80.4677], [25.1903, 35.6879, 43.3161]]","[[0.0085, 0.0198, 0.0048], [-0.0061, 0.0042, 0.0067], [0.0038, -0.009, 0.0134], [-0.0161, 0.0004, 0.0055], [-0.005, -0.0003, -0.0162]]",20260904_230903_loop_xgbrf_psar_dir_2
133,psar_dir_3,psar_dir_3,P,-0.000641624576802613,0.4666666666666667,-0.013036004715947236,-0.02856603023122517,0.048032389406016396,0.07460479506425921,,KEEP,0.006993252662272473,214,"[[73.0425, 101.9198, 124.9628], [47.587, 68.3042, 82.0931], [77.545, 108.8666, 133.7169], [45.9112, 65.8036, 80.4698], [25.1904, 35.6855, 43.3103]]","[[-0.0068, -0.0106, -0.0146], [0.0088, -0.0008, 0.0014], [0.0074, -0.0043, -0.0286], [0.0135, 0.007, -0.0027], [-0.0006, 0.0067, 0.0135]]",20260904_231028_loop_xgbrf_psar_dir_3
134,psar_dir_4,psar_dir_4,P,-0.0022422580082448462,0.4,-0.012686608514598241,-0.021029865208999077,0.05663219182180379,0.07651875232749239,,KEEP,0.006993252662272473,215,"[[73.038, 101.9277, 124.9466], [47.597, 68.3029, 82.1014], [77.5536, 108.8685, 133.7262], [45.9122, 65.8127, 80.4611], [25.19, 35.6867, 43.3084]]","[[0.006, -0.0077, 0.0129], [-0.021, 0.0019, -0.0102], [-0.0111, -0.0017, -0.007], [-0.0022, -0.0138, 0.0109], [0.0017, -0.0035, 0.0044]]",20260904_231210_loop_xgbrf_psar_dir_4
135,psar_dir_5,psar_dir_5,P,0.002411921851652732,0.6,-0.009799204729783462,-0.020214229170245623,0.05048829392038101,0.0822480538269943,,KEEP,0.006993252662272473,216,"[[73.0363, 101.9233, 124.9377], [47.5891, 68.2942, 82.1004], [77.5399, 108.8488, 133.7115], [45.9135, 65.8196, 80.4679], [25.192, 35.6898, 43.3171]]","[[0.0024, 0.0043, 0.0072], [0.0167, 0.0128, 0.0012], [0.0178, 0.0181, 0.011], [-0.0029, -0.0105, -0.0084], [-0.0077, -0.0087, -0.0202]]",20260904_231344_loop_xgbrf_psar_dir_5
136,psar_dir_8,psar_dir_8,P,0.00011920819888988632,0.5333333333333333,-0.012801944489795325,-0.01734411808467229,0.05060744193308153,0.07593764955534654,,KEEP,0.006993252662272473,217,"[[73.0334, 101.9149, 124.954], [47.5892, 68.306, 82.0937], [77.5472, 108.8567, 133.7282], [45.9088, 65.7983, 80.4678], [25.1922, 35.6888, 43.3121]]","[[0.0039, 0.0083, -0.013], [-0.0001, -0.0173, 0.0083], [-0.0094, -0.0073, -0.0124], [0.0104, 0.0324, 0.0001], [-0.001, 0.003, 0.0117]]",20260904_231504_loop_xgbrf_psar_dir_8
137,psar_dir_10,psar_dir_10,P,-0.0031225762645359367,0.3333333333333333,-0.010690409812283974,-0.016561221572075624,0.050856634324891736,0.07291234001026714,,KEEP,0.006993252662272473,218,"[[73.0455, 101.9246, 124.9518], [47.5929, 68.3069, 82.0996], [77.5496, 108.8589, 133.6926], [45.914, 65.8012, 80.4636], [25.1912, 35.6867, 43.3152]]","[[-0.0166, -0.0095, 0.0017], [-0.0078, -0.0012, -0.0073], [-0.0031, -0.002, 0.0266], [-0.0115, -0.0044, 0.0051], [0.004, 0.0057, -0.0073]]",20260904_231621_loop_xgbrf_psar_dir_10
138,psar_dir_15,psar_dir_15,P,-0.004618527941602224,0.4666666666666667,-0.008972087867182843,-0.01603275919854763,0.04684496892910506,0.08242907142849143,,KEEP,0.006993252662272473,219,"[[73.0504, 101.9293, 124.9622], [47.5875, 68.2989, 82.0973], [77.5437, 108.8764, 133.7019], [45.9128, 65.8002, 80.4708], [25.1876, 35.6888, 43.3191]]","[[-0.0067, -0.0046, -0.0083], [0.0114, 0.0117, 0.0028], [0.0077, -0.016, -0.007], [0.0026, 0.0015, -0.0089], [0.0144, -0.0057, -0.009]]",20260904_231743_loop_xgbrf_psar_dir_15
139,psar_logdist_2,psar_logdist_2,P,-0.0011230559074482116,0.4666666666666667,-0.013971080140513514,-0.019511037767472317,0.04304485233699307,0.07547598332713346,,KEEP,0.006993252662272473,220,"[[73.0463, 101.9069, 124.9557], [47.5923, 68.3122, 82.1052], [77.5445, 108.8561, 133.6674], [45.9148, 65.811, 80.4684], [25.1882, 35.6898, 43.3053]]","[[0.0056, 0.022, 0.0052], [-0.0102, -0.0195, -0.0095], [-0.0011, 0.0186, 0.0258], [-0.0043, -0.0165, 0.003], [-0.0024, -0.0028, 0.0319]]",20260904_231845_loop_xgbrf_psar_logdist_2
140,psar_logdist_3,psar_logdist_3,P,0.004157642728475075,0.6,-0.008442176702643243,-0.026610101640200945,0.04305387071295019,0.07324353999186295,,KEEP,0.006993252662272473,221,"[[73.0467, 101.8996, 124.9566], [47.5866, 68.3122, 82.0962], [77.5398, 108.8586, 133.703], [45.9063, 65.8009, 80.465], [25.189, 35.6857, 43.3104]]","[[-0.0006, 0.0071, -0.0007], [0.012, 0.0, 0.0109], [0.0061, -0.0022, -0.0266], [0.0187, 0.0154, 0.0042], [-0.0034, 0.0113, -0.0118]]",20260904_231957_loop_xgbrf_psar_logdist_3
141,psar_logdist_4,psar_logdist_4,P,-0.0036600808305253807,0.4,-0.01759171960343142,-0.022191014271721876,0.044964619283538454,0.08367488581926263,,KEEP,0.006993252662272473,222,"[[73.0352, 101.9222, 124.9617], [47.5967, 68.3109, 82.1018], [77.5417, 108.8472, 133.6718], [45.9079, 65.8085, 80.4697], [25.1882, 35.6901, 43.3097]]","[[0.0158, -0.0222, -0.0041], [-0.0212, 0.0019, -0.0068], [-0.0025, 0.0104, 0.0233], [-0.0037, -0.0115, -0.0058], [0.0033, -0.0122, 0.0016]]",20260904_232057_loop_xgbrf_psar_logdist_4
142,psar_logdist_5,psar_logdist_5,P,-0.0028878355147199386,0.4666666666666667,-0.010971546495959217,-0.021201238156920432,0.039428775699634766,0.07990962567716586,,KEEP,0.006993252662272473,223,"[[73.0305, 101.9097, 124.9653], [47.5927, 68.3107, 82.1087], [77.5417, 108.8549, 133.7001], [45.9108, 65.8118, 80.4768], [25.1913, 35.6827, 43.3042]]","[[0.0064, 0.0123, -0.0029], [0.0084, 0.0003, -0.0085], [0.0001, -0.0071, -0.0212], [-0.0062, -0.0051, -0.0088], [-0.0124, 0.0207, 0.0127]]",20260904_232208_loop_xgbrf_psar_logdist_5
