configuration,system,n_ext,n_new,rmse_mean,MedianGain_prune_vs_unprune,WinRate,P10Gain,WorstGain,eps,win
unprune,xgbrf(S0_xgbrf ∪ F_raw),170,158,"[[73.0402, 101.9195, 124.9426], [47.5882, 68.3204, 82.1035], [77.5401, 108.8591, 133.6854], [45.914, 65.8193, 80.4674], [25.1892, 35.6749, 43.3007]]",,,,,,
prune,xgbrf(S0_xgbrf ∪ F_pruned),106,94,"[[73.0283, 101.8871, 124.9105], [47.5842, 68.2984, 82.0491], [77.5462, 108.8333, 133.644], [45.909, 65.826, 80.4639], [25.1869, 35.6787, 43.3118]]",0.010824164622158516,0.7333333333333333,-0.010428003550919662,-0.025471297412993366,0.006993252662272473,prune
