col,PI_h1,PI_h2,PI_h3,keep
vwap_amt_gap_2,-0.0010118734629240105,-0.0007801737007563739,-0.0007074032277169332,False
vwap_amt_gap_3,0.0001369883510828155,0.0003543519053437194,-0.0003598375121403781,True
vwap_amt_gap_4,9.870342381882817e-05,0.00016495996741146732,-0.00031613877853449895,True
vwap_amt_gap_5,-0.00026238235956554945,0.0004808287947734395,0.0006124046977475928,True
vwap_amt_gap_8,0.0005580705215114298,0.0006923455306330576,0.0005026781292632639,True
vwap_amt_gap_10,7.424272814423223e-05,0.00029011090880478224,0.00010426279509800906,True
ret_1,-0.0003143197792046711,-7.525554287705442e-05,-7.260659612029485e-05,False
ret_2,-0.0006777089362313878,-1.692786469694359e-05,2.6958698749505555e-05,False
ret_3,-0.00015938215176802828,-0.00026024173251926186,-0.00040399877425064307,False
ret_4,0.0012074369998522627,3.1506163272373064e-06,0.0002744602641916079,True
ret_5,6.710877247447418e-05,0.00021627197361103376,-0.00042240945657567863,True
ret_8,0.0005241610985606826,0.00020633239179564575,4.40663675126037e-05,True
ret_15,-0.00010128860116272638,-0.0008228369521627125,-0.001664205049455821,False
log_rv2_rv60,0.0009713635334627213,0.0021777053129123183,0.0011104105924388818,True
log_rv3_rv60,0.0036250889849848513,0.003497978938407679,0.0009310806016126586,True
log_rv4_rv60,-0.0005765931132799551,0.000865803868014344,6.921140735964097e-05,True
log_rv5_rv60,0.0003175239526787739,-0.0010970348203803344,-0.0013544852248372763,False
log_rv8_rv60,-0.00036412127793757537,-0.0007396731373556046,-0.003948161563040268,False
log_rv10_rv60,-0.00028387501915953334,-0.0019384317470686103,-0.0037898509486922194,False
log_rv15_rv60,-0.0002329318817757553,-0.0007678631180117653,-0.004184316433073339,False
log_c_ema2,-0.0003486125998174809,-0.0010577375502644297,-0.0005811978328675119,False
log_c_ema3,2.663003942160458e-05,0.0003798386190680958,9.068856040291469e-05,True
log_c_ema4,0.00019268169630493048,0.000237987125714767,-2.0670995828216594e-05,True
log_c_ema5,0.0009392476308818232,-0.00023726515369067633,-0.00034591898031048157,False
log_c_ema8,-7.904600766532137e-05,-0.00010147606794911705,-0.0005623219530264123,False
log_c_ema10,4.420833081416239e-05,-1.8675326967828216e-05,-0.00028257716979851466,False
log_c_ema15,-0.00036128650756713415,-0.000605089617693011,8.411441557617157e-05,False
log_ema2_ema5,0.0002868560774042332,-0.0003581656385118019,7.068987028920522e-05,True
log_ema2_ema8,8.638164882294556e-05,0.0003379492966881041,-0.0008071874853783356,True
log_ema3_ema10,-0.00011789687970302036,0.00032378067252144166,-0.0007116639675738649,False
log_ema4_ema10,-4.344568904931141e-06,-0.00031479759478495833,-0.0005710464092582394,False
log_ema5_ema15,-0.0002242058415310074,0.00014316918600343342,-0.000926488568348797,False
rsi1_centered,0.00025275619234813956,0.0002099154775455266,1.4223149828277807e-05,True
rsi2_centered,8.390243048002806e-05,-0.00013795032747054847,0.0005079755214438819,True
rsi3_centered,-0.00012608435107589835,0.0001980902248988059,0.000717239208048189,True
rsi4_centered,-0.00023336382552230361,0.0009144074944226569,0.0009728091078405517,True
rsi5_centered,0.0003790719900050495,0.00026957621691773664,0.00027705579407684883,True
rsi8_centered,0.0018039718167699448,-0.0014323440436546282,0.0020805515157699497,True
rsi10_centered,0.0005916146356147086,0.004226924522148086,0.004903776445904858,True
rsi15_centered,0.0005978876663069362,0.0026154487843067877,0.0030300159824558173,True
bb_pctb_2,0.0012476942449405708,-4.476003330466938e-05,-0.0002820547145603314,False
bb_pctb_4,-1.7257798295607547e-05,0.00010947500102057954,0.0008438281678948556,True
bb_pctb_5,0.0002688395849427631,0.0004365472393956793,0.0009621405167005529,True
bb_pctb_8,0.0005307569653159779,0.00023460337774849904,-6.763576206954743e-06,True
bb_pctb_10,0.00014859755028358754,0.00037827800316847515,0.0007505590254102875,True
bb_pctb_15,0.0006282372150702523,0.0003209362327064961,0.0005167278434422921,True
bb_logbw_3,-3.809923480702082e-05,-0.00039263784402029006,-0.0005353147532739891,False
bb_logbw_4,-0.0002281787632180491,7.493150245589202e-05,-6.374782294453023e-05,False
bb_logbw_5,0.00042764811276896353,-0.0003809254926305054,-0.0003347748640815477,False
bb_logbw_8,-0.0007402436049090966,-0.0005539277653146731,0.00014447523689398167,False
bb_logbw_10,-0.00023190239076124422,-0.000224059289240112,0.00030224475962133585,False
bb_logbw_15,0.0008135086541140405,1.28353907532149e-05,-0.0007532505389538832,True
log_atr1_c,-5.214180150166688e-05,-0.0005116505294040508,-0.00039785601182747615,False
log_atr2_c,0.00048806938215761875,-0.00030259221642836565,0.0006668115402893212,True
log_atr3_c,-0.000397071734582255,1.400250601098681e-06,0.000976951881528502,True
log_atr4_c,-6.006587176206798e-05,-6.829780033020445e-05,-1.0487494733979474e-05,False
log_atr5_c,5.482361431556152e-05,-0.0003201967398638317,5.981652707021112e-05,True
log_atr8_c,-1.1627367920633938e-05,-0.0014295918687613114,-0.0002798954375364815,False
log_atr10_c,0.00033634600609981174,8.099860194003365e-05,0.00017653629961481934,True
log_atr15_c,6.162953267126643e-05,-0.0004081143620477216,5.022963638149728e-05,True
log_atr2_rv2,-0.00010256180212309118,-0.0009287212751421711,1.64607037239269e-05,False
log_atr3_rv3,-4.120077680269674e-05,-0.0009503704672084723,-0.0008112431181667527,False
log_atr4_rv4,-0.00025225833403889436,-0.00025235383274946344,-0.00029443659785025983,False
log_atr5_rv5,-0.0005613119517420273,0.0002488760921105874,0.0006942769448462135,True
log_atr8_rv8,-0.00014969571714592197,0.00042517700981647977,-0.0007393106121374634,False
log_atr10_rv10,0.00127138207232728,0.00022916267363370935,0.0004225751165047124,True
log_atr15_rv15,0.00032558273081662037,0.0002975066071234285,0.0013702368699786878,True
kcw_2,0.0004912234935900983,0.0005663045676177111,-0.0003562309531967382,True
