configuration,system,n_ext,n_new,rmse_mean,MedianGain_prune_vs_unprune,WinRate,P10Gain,WorstGain,eps,win
unprune,lgbm(S0_lgbm ∪ F_raw),173,159,"[[73.0561, 102.0992, 125.2888], [47.615, 68.353, 82.1268], [77.5148, 108.9769, 133.8624], [45.9416, 65.7812, 80.4834], [25.1928, 35.6701, 43.29]]",,,,,,
prune,lgbm(S0_lgbm ∪ F_pruned),91,77,"[[73.0165, 101.9338, 125.2415], [47.6298, 68.3407, 82.0203], [77.563, 109.0061, 133.768], [45.9509, 65.7745, 80.4976], [25.1913, 35.6488, 43.2643]]",0.018021666724610252,0.6666666666666666,-0.029372270645202647,-0.06224236818612727,0.026609510898533906,prune
