configuration,system,n_ext,n_new,rmse_mean,MedianGain_prune_vs_unprune,WinRate,P10Gain,WorstGain,eps,win
unprune,xgb(S0_xgb ∪ F_raw),174,163,"[[72.9663, 101.7921, 125.2422], [47.682, 68.2662, 81.8699], [77.3203, 108.752, 133.7361], [45.9021, 65.7852, 80.5446], [25.2501, 35.6931, 43.322]]",,,,,,
prune,xgb(S0_xgb ∪ F_pruned),81,70,"[[72.9872, 101.7382, 125.0822], [47.626, 68.2892, 81.8558], [77.3834, 108.8054, 133.957], [45.8964, 65.8445, 80.486], [25.2209, 35.6856, 43.3296]]",0.012482810179770265,0.5333333333333333,-0.08673501144325968,-0.16521002695484288,0.06187712621061578,prune
