start_position,origin_id,n_predictions,single_origin_sample,duration_ms
0,206256,1,1,16.59655396360904
1,206257,29,0,3.177459992002696
30,206286,1,1,2.7648049872368574
31,206287,30,0,3.067335986997932
61,206317,1,1,2.751921012531966
62,206318,30,0,2.9748149681836367
92,206348,1,1,2.7507480117492378
93,206349,29,0,2.9579830006696284
122,206378,1,1,2.7537739952094853
123,206379,30,0,2.966858970467001
153,206409,1,1,2.741982985753566
154,206410,30,0,2.9513700283132493
184,206440,1,1,2.7529119979590178
185,206441,29,0,2.9581040143966675
214,206470,1,1,2.742393990047276
215,206471,30,0,2.963563019875437
245,206501,1,1,2.7511289808899164
246,206502,30,0,2.960757992696017
276,206532,1,1,2.737314032856375
277,206533,29,0,2.9491669847629964
306,206562,1,1,2.7515700203366578
307,206563,30,0,2.958154014777392
337,206593,1,1,2.7394279604777694
338,206594,30,0,2.961820049677044
368,206624,1,1,2.7457299875095487
369,206625,29,0,2.9560300172306597
398,206654,1,1,2.743415010627359
399,206655,30,0,2.957471995614469
429,206685,1,1,2.7490250067785382
430,206686,30,0,2.9600259731523693
460,206716,1,1,2.7441770071163774
461,206717,29,0,2.954246010631323
490,206746,1,1,2.75088899070397
491,206747,30,0,2.963412960525602
521,206777,1,1,2.7566300122998655
522,206778,30,0,2.9550379840657115
552,206808,1,1,2.963113016448915
553,206809,29,0,2.9499380034394562
582,206838,1,1,2.7837600209750235
583,206839,30,0,2.959926030598581
613,206869,1,1,2.7407199959270656
614,206870,30,0,2.9549869941547513
644,206900,1,1,2.749055973254144
645,206901,29,0,2.955067961011082
674,206930,1,1,2.745259029325098
675,206931,30,0,2.959234989248216
705,206961,1,1,2.7396089863032103
706,206962,30,0,2.947383967693895
736,206992,1,1,2.737063041422516
737,206993,30,0,2.954115974716842
767,207023,1,1,2.7373339980840683
768,207024,29,0,2.951601054519415
797,207053,1,1,2.747112012002617
798,207054,30,0,2.9550280305556953
828,207084,1,1,2.7395180077292025
829,207085,30,0,2.9507389990612864
