start_position,origin_id,n_predictions,single_origin_sample,duration_ms
0,149936,1,1,18.034089996945113
1,149937,29,0,3.6093589733354747
30,149966,1,1,2.7345680282451212
31,149967,29,0,3.058027010411024
60,149996,1,1,2.7091699885204434
61,149997,30,0,3.213374991901219
91,150027,1,1,2.694143040571362
92,150028,29,0,3.087492019403726
121,150057,1,1,2.69109703367576
122,150058,30,0,3.059250011574477
152,150088,1,1,2.694784023333341
153,150089,29,0,3.0813299817964435
182,150118,1,1,2.6837430195882916
183,150119,30,0,3.038040013052523
213,150149,1,1,2.667915017809719
214,150150,29,0,3.054981993045658
243,150179,1,1,2.6599999982863665
244,150180,30,0,3.1307919998653233
274,150210,1,1,2.7164340135641396
275,150211,29,0,3.057445981539786
304,150240,1,1,2.6852560113184154
305,150241,30,0,3.048528975341469
335,150271,1,1,2.693933027330786
336,150272,29,0,3.0430899932980537
365,150301,1,1,2.7071370277553797
366,150302,29,0,3.0233629513531923
395,150331,1,1,2.7014660299755633
396,150332,30,0,3.0587479704990983
426,150362,1,1,2.682532009202987
427,150363,29,0,3.039792994968593
456,150392,1,1,2.718276984523982
457,150393,30,0,3.027040045708418
487,150423,1,1,2.7120260056108236
488,150424,29,0,3.038772032596171
517,150453,1,1,2.7127370121888816
518,150454,30,0,3.0361160170286894
548,150484,1,1,2.9202320147305727
549,150485,29,0,3.063097014091909
578,150514,1,1,2.6810590061359107
579,150515,30,0,3.0298749916255474
609,150545,1,1,2.717014984227717
610,150546,29,0,3.062895964831114
639,150575,1,1,2.7066359762102365
640,150576,30,0,3.0576559947803617
670,150606,1,1,2.696567040402442
671,150607,29,0,3.0064720194786787
700,150636,1,1,2.679855970200151
701,150637,30,0,3.0648699612356722
731,150667,1,1,2.6815099990926683
732,150668,29,0,3.0422679847106338
761,150697,1,1,2.7320130029693246
762,150698,29,0,3.0427679885178804
791,150727,1,1,2.7283660019747913
792,150728,30,0,3.0379199888557196
822,150758,1,1,2.7194389840587974
823,150759,29,0,3.0306559638120234
852,150788,1,1,2.73060001200065
853,150789,30,0,3.034994995687157
883,150819,1,1,2.6869290159083903
884,150820,29,0,3.0527680064551532
913,150849,1,1,2.7029190096072853
914,150850,30,0,3.0338219949044287
944,150880,1,1,2.7040609857067466
945,150881,29,0,3.0128139769658446
974,150910,1,1,2.676469972357154
975,150911,30,0,3.058598027564585
1005,150941,1,1,2.7218040195293725
1006,150942,29,0,3.0477980035357177
1035,150971,1,1,2.6755979633890092
1036,150972,30,0,3.086309996433556
1066,151002,1,1,2.6696170098148286
1067,151003,29,0,3.083253977820277
1096,151032,1,1,2.7235979796387255
1097,151033,29,0,3.0353449983522296
1126,151062,1,1,2.7320029912516475
1127,151063,30,0,3.043329983484
1157,151093,1,1,2.712296030949801
1158,151094,29,0,3.044953045900911
1187,151123,1,1,2.875459031201899
1188,151124,30,0,3.0337420175783336
1218,151154,1,1,2.671100024599582
1219,151155,29,0,3.0653810244984925
1248,151184,1,1,2.6794360019266605
1249,151185,30,0,3.0440810369327664
1279,151215,1,1,2.7051829965785146
1280,151216,29,0,3.038240014575422
1309,151245,1,1,2.675517986062914
1310,151246,30,0,3.02548601757735
1340,151276,1,1,2.7031300123780966
1341,151277,29,0,3.0473669758066535
1370,151306,1,1,2.704682992771268
1371,151307,30,0,3.0423179850913584
1401,151337,1,1,2.7243890217505395
1402,151338,29,0,3.046536003239453
1431,151367,1,1,2.702347992453724
