start_position,origin_id,n_predictions,single_origin_sample,duration_ms
0,181104,1,1,0.9434510138817132
1,181105,23,0,1.2068799696862698
24,181128,1,1,0.7815400022082031
25,181129,24,0,1.218482037074864
49,181153,1,1,0.7885940140113235
50,181154,23,0,1.4985509915277362
73,181177,1,1,0.8011269965209067
74,181178,24,0,1.0864569921977818
98,181202,1,1,0.7739159627817571
99,181203,23,0,1.109830045606941
122,181226,1,1,0.8166350307874382
123,181227,24,0,1.0853050043806434
147,181251,1,1,0.7711710059083998
148,181252,23,0,1.0761680314317346
171,181275,1,1,0.7653810316696763
172,181276,24,0,1.1000419617630541
196,181300,1,1,0.7635669899173081
197,181301,24,0,1.079944020602852
221,181325,1,1,0.770480022765696
222,181326,23,0,1.0869279503822327
245,181349,1,1,0.7648500031791627
246,181350,24,0,1.1668960214592516
270,181374,1,1,0.7725040195509791
271,181375,23,0,1.0838420130312443
294,181398,1,1,0.766431970987469
295,181399,24,0,1.0771590168587863
319,181423,1,1,0.7607719744555652
320,181424,23,0,1.0600680252537131
343,181447,1,1,0.7629060419276357
344,181448,24,0,1.0856249718926847
368,181472,1,1,0.7578670047223568
369,181473,24,0,1.0714080417528749
393,181497,1,1,0.747938989661634
394,181498,23,0,1.066229015123099
417,181521,1,1,0.7542400271631777
418,181522,24,0,1.0546570410951972
442,181546,1,1,0.7611830369569361
443,181547,23,0,1.0438680183142424
466,181570,1,1,0.7679850095883012
467,181571,24,0,1.0504699894227087
491,181595,1,1,0.7588280132040381
492,181596,23,0,1.0695649543777108
515,181619,1,1,0.763706979341805
516,181620,24,0,1.063784002326429
540,181644,1,1,0.761242990847677
541,181645,23,0,1.0547880083322525
564,181668,1,1,0.7684059673920274
565,181669,24,0,1.0757860145531595
589,181693,1,1,0.7707200129516423
590,181694,24,0,1.085975964087993
614,181718,1,1,0.7571050082333386
615,181719,23,0,1.0653070057742298
638,181742,1,1,0.7537399651482701
639,181743,24,0,1.0695650125853717
663,181767,1,1,0.7695489912293851
664,181768,23,0,1.0532249580137432
687,181791,1,1,0.7655809749849141
688,181792,24,0,1.0705269523896277
712,181816,1,1,0.7746470510028303
713,181817,23,0,1.0401909821666777
736,181840,1,1,0.7617339724674821
737,181841,24,0,1.072190992999822
761,181865,1,1,0.7649700273759663
762,181866,24,0,1.0598869994282722
786,181890,1,1,0.7569650188088417
787,181891,23,0,1.0716600227169693
810,181914,1,1,0.7661629933863878
811,181915,24,0,1.0557100176811218
835,181939,1,1,0.7544399704784155
836,181940,23,0,1.0361230233684182
859,181963,1,1,0.7482789806090295
860,181964,24,0,1.0756570263765752
884,181988,1,1,0.7527170237153769
885,181989,23,0,1.065438031218946
908,182012,1,1,0.7595199858769774
909,182013,24,0,1.0737639968283474
933,182037,1,1,0.7613630150444806
934,182038,23,0,1.0767989442683756
957,182061,1,1,0.7656409870833158
958,182062,24,0,1.0590660385787487
982,182086,1,1,0.7629760075360537
983,182087,24,0,1.049587968736887
1007,182111,1,1,0.7661720155738294
1008,182112,23,0,1.0694849770516157
1031,182135,1,1,0.7593600312247872
