col,PI_h1,PI_h2,PI_h3,keep
vwap_amt_gap_1,0.01922936365720318,-0.009433362854712376,0.0,False
vwap_amt_gap_15,-0.0021379140069655023,-0.02473020406723947,0.0002251631964469425,False
vwap_amt_gap_60,-0.00018777643526846077,-0.03561243101254282,0.02661141225162093,False
vwap_amt_gap_240,-0.0027424499596098903,0.0005298945043819003,-0.0010647189715863685,False
ret_60,0.0,0.00161577258313154,0.004797341739016285,True
ret_240,0.0031314101082908032,-0.012383806582742332,0.013989304113977141,True
ret_1440,0.0016288401490266817,-0.011101889276157332,0.008991422461278376,True
log_rv15_rv240,-0.0037635501784383982,0.0019972316826510905,0.002562452177320059,True
log_rv60_rv1440,0.004524892834597931,-0.002835470788449849,0.007356177216398881,True
ret_skew_60,0.016417575224167535,0.015574281842513452,0.0036734500379698907,True
dd_240,0.0017451241736405148,-0.01118685826159549,-0.012006193677819965,False
ru_240,-0.0028481978048138976,0.007502107617033478,-0.008427897843783208,False
log_c_ema60,0.0,-0.0064886051817059824,-0.008334416800143648,False
log_c_ema240,-0.0018874137967893982,0.003216193265049109,-0.004066960170931111,False
log_c_ema1440,0.0031465185164781437,-0.013553818645571406,0.004528391027198116,True
log_ema60_ema240,-0.00042663966277226945,0.003984726036151187,0.0053075184348756466,True
hma_slope64_volnorm,0.0,0.003641405733693167,0.006038102917851044,True
rsi240_centered,0.0036325451903257053,-0.005759961973978989,0.029089905962393914,True
macd_hist_60_240_60_volnorm,0.0013778618393089914,-0.004580904182584315,-0.006831016678016037,False
bb_pctb_20,-0.005508503550267108,-0.009659913339784035,0.0136498398359682,False
bb_pctb_60,-0.0007534932345999815,0.005180579491375663,-0.00026751184137197015,False
bb_logbw_20,0.0006724003408606904,-0.0004145837795519469,-0.021794644338541502,False
log_atr14_c,-7.489984281979407e-05,0.0001034282882651875,0.0,False
log_atr14_rv14,0.0019308109476223005,-0.00042810351113331535,-0.010961030142903875,False
kcw_20,0.0,-0.0026330018589912165,-0.011400712131485117,False
mfi14_centered,-0.002975385880527407,-0.0065115021885920514,0.01042743460253348,False
mfi60_centered,-0.0016184161848660967,0.009012645512574599,0.005469189371098082,True
ad_vwclv_5,-0.00010351537360738423,-0.000344791903962971,0.0,False
ad_vwclv_15,0.0,0.0024053490335944616,0.005588170625259181,True
ad_vwclv_60,-0.0032094827360348668,-0.0013648499919417152,-0.004553407470567095,False
psar_dir,0.0,0.0,0.0,False
psar_logdist,0.0005388176715778551,0.0,-0.00577792620296691,False
psar_age_log,0.0025354759456845954,0.0039621020188747025,0.011930509370349304,True
dow_sin,0.0,0.0,0.0,False
dow_cos,0.0,0.0,0.0,False
log_rv60_med2d,0.00011433931179756958,0.013858224865134142,0.03097691593880351,True
log_range_240,-0.0025835543243767725,-0.0016199939922429962,1.4970160246245237e-05,False
r5_1,-0.0040307821441558644,-0.010631689946611308,-0.00808569040988516,False
r5_12,0.0013323474127204804,-0.002210458565902703,-0.01297356094195834,False
log_c5_ema5_12,0.0016837267717733084,-0.006317278279558043,0.0,False
