order,candidate,columns,group,MedianGain_vs_S,WinRate,P10Gain,WorstGain,MedianGain_vs_base,MedianGain_vs_E0,gain_standalone_E0,decision,eps,size_S_after,rmse_cells,gain_cells_vs_S,exp_id
18,rsi240_centered,rsi240_centered,D,-0.4150965405811613,0.4666666666666667,-1.4040225820229368,-2.8392127345655327,1.0629357183142396,-3.1272855946593348,-0.04237318029687298,DROP,0.005,78,"[[45.8021, 64.0698, 78.4498], [51.7288, 72.0677, 87.3867], [59.7117, 87.0378, 109.6171], [86.1981, 120.9414, 149.6404], [102.0541, 133.5778, 154.8906]]","[[-0.547, -0.7069, -0.8299], [-0.4558, -1.7868, -2.8392], [0.6312, 1.063, 1.1097], [0.483, 0.2764, 0.3653], [0.0057, -0.4151, -0.4728]]",20260901_175701_loop_autots_mr_rsi240_centered
19,macd_hist_60_240_60_volnorm,macd_hist_60_240_60_volnorm,D,-0.2275111323087442,0.4,-0.8722938066023067,-1.3321544551234021,1.0143040230148448,-2.152973405594616,-0.018819026662786342,DROP,0.005,78,"[[45.7045, 63.8107, 78.3247], [51.6113, 70.8947, 85.3988], [60.086, 87.4997, 110.3306], [86.3346, 120.9727, 150.0144], [102.6642, 134.3661, 156.2154]]","[[-0.3328, -0.2998, -0.6692], [-0.2275, -0.1301, -0.4998], [0.0083, 0.5379, 0.466], [0.3253, 0.2506, 0.1162], [-0.5921, -1.0077, -1.3322]]",20260901_180050_loop_autots_mr_macd_hist_60_240_60_volnorm
20,bb_pctb_20,bb_pctb_20,E,-0.026575600704581426,0.4666666666666667,-1.1046572160921242,-1.2453152049046956,0.8710127105929,-2.7545320374613436,-0.00889409811251074,DROP,0.005,78,"[[46.096, 64.2393, 78.773], [51.4511, 71.0404, 85.5573], [59.8682, 86.8656, 109.2174], [86.6155, 121.4902, 150.2288], [101.7982, 132.9399, 155.1294]]","[[-1.1922, -0.9734, -1.2453], [0.0837, -0.3357, -0.6863], [0.3708, 1.2587, 1.4703], [0.001, -0.1761, -0.0266], [0.2566, 0.0644, -0.6277]]",20260901_180440_loop_autots_mr_bb_pctb_20
21,bb_pctb_60,bb_pctb_60,E,-0.17896698207571227,0.26666666666666666,-0.8904168040783622,-1.2113775484161593,0.9648401437670873,-1.9571116530973764,-0.022542372958267443,DROP,0.005,78,"[[45.5595, 63.7339, 78.1045], [51.6998, 71.2253, 85.897], [60.329, 87.3231, 110.0037], [86.5335, 121.4155, 149.8208], [102.1816, 133.367, 156.0292]]","[[-0.0145, -0.179, -0.3861], [-0.3993, -0.597, -1.086], [-0.3961, 0.7386, 0.7609], [0.0957, -0.1145, 0.2451], [-0.1192, -0.2567, -1.2114]]",20260901_180830_loop_autots_mr_bb_pctb_60
22,bb_logbw_20,bb_logbw_20,E,-0.06747327293279426,0.4666666666666667,-0.734808673262104,-0.8026957780053134,0.7306420916455392,-2.3926968035040908,-0.006928532518291064,DROP,0.005,78,"[[45.7632, 64.1284, 78.3007], [51.5289, 70.9362, 85.6562], [59.7893, 86.9621, 109.435], [86.5239, 121.6467, 150.8256], [102.0098, 132.4761, 153.7873]]","[[-0.4617, -0.7991, -0.6383], [-0.0675, -0.1886, -0.8027], [0.502, 1.149, 1.274], [0.1068, -0.3051, -0.4239], [0.0491, 0.4131, 0.2429]]",20260901_181222_loop_autots_mr_bb_logbw_20
23,log_atr14_c,log_atr14_c,F,-0.13963034455111156,0.4666666666666667,-0.42709043710189576,-0.7060753231807659,0.7595356716842416,-2.2769073300496823,-0.007517217092911643,DROP,0.005,78,"[[45.5004, 63.7088, 78.0869], [51.7359, 70.9145, 85.5741], [59.3944, 85.7747, 107.0242], [86.878, 121.4923, 150.4005], [101.7768, 132.2143, 153.6134]]","[[0.1153, -0.1396, -0.3635], [-0.4695, -0.1581, -0.7061], [1.1592, 2.4987, 3.4488], [-0.3021, -0.1779, -0.1409], [0.2774, 0.6099, 0.3557]]",20260901_181610_loop_autots_mr_log_atr14_c
24,log_atr14_rv14,log_atr14_rv14,F,-0.03396258906185334,0.4666666666666667,-0.4481119186628435,-0.6347003423631703,1.0086412568207082,-2.0521037514983353,-0.015798915758269416,DROP,0.005,78,"[[45.7832, 63.8001, 78.0665], [51.6131, 70.9568, 85.5135], [60.061, 87.4491, 110.1943], [86.4953, 120.9022, 149.4065], [101.9991, 133.0708, 154.7198]]","[[-0.5055, -0.2831, -0.3373], [-0.231, -0.2177, -0.6347], [0.05, 0.5954, 0.589], [0.1398, 0.3087, 0.5209], [0.0597, -0.034, -0.362]]",20260901_182000_loop_autots_mr_log_atr14_rv14
25,kcw_20,kcw_20,F,0.1081087687228921,0.6666666666666666,-0.2085482752747847,-0.49489542328251535,1.0062925157495184,-1.943324281579084,0.002810695125177176,KEEP,0.005,79,"[[45.4876, 63.7321, 78.1891], [51.2946, 70.7502, 85.1557], [59.6002, 86.5825, 108.5228], [86.4827, 121.2454, 150.0266], [102.1016, 132.8741, 154.4712]]","[[0.1434, -0.1763, -0.4949], [0.3876, 0.0741, -0.2137], [0.8168, 1.5805, 2.0969], [0.1543, 0.0257, 0.1081], [-0.0407, 0.1139, -0.2008]]",20260901_182351_loop_autots_mr_kcw_20
26,mfi14_centered,mfi14_centered,G,-0.05853324640725521,0.3333333333333333,-0.245597584236954,-0.36798617008304557,0.7598396568294641,-1.8652284535371821,0.0024416130688487137,DROP,0.005,79,"[[45.5893, 63.639, 77.9523], [51.3337, 70.8132, 85.1952], [59.7314, 86.6133, 108.7238], [86.5334, 121.6916, 150.417], [101.9798, 131.8148, 152.9951]]","[[-0.2236, 0.1462, 0.3029], [-0.0762, -0.0891, -0.0464], [-0.2202, -0.0356, -0.1852], [-0.0585, -0.368, -0.2602], [0.1192, 0.7972, 0.9556]]",20260901_182744_loop_autots_mr_mfi14_centered
27,mfi60_centered,mfi60_centered,G,-0.20504124803710777,0.4,-0.5570612055184965,-1.0828623123078307,1.086010135762805,-2.172218649401092,0.05255880919161626,DROP,0.005,79,"[[45.6077, 63.8752, 78.0602], [51.4168, 71.0419, 85.603], [59.7224, 87.0832, 109.6979], [86.5122, 120.7476, 148.8045], [101.6447, 131.7704, 154.1395]]","[[-0.264, -0.2245, 0.1649], [-0.2383, -0.4123, -0.5252], [-0.205, -0.5783, -1.0829], [-0.0341, 0.4106, 0.8146], [0.4475, 0.8307, 0.2147]]",20260901_183137_loop_autots_mr_mfi60_centered
