configuration,n_ext,rmse_mean,MedianGain_prune_vs_unprune,WinRate,P10Gain,WorstGain,eps,win
unprune,32,"[[44.8845, 62.5442, 76.2152], [51.2106, 70.4344, 84.2697], [57.2311, 82.0962, 100.4191], [84.8246, 116.8719, 143.1601], [102.5117, 131.8814, 150.8034]]",,,,,,
prune,12,"[[44.8636, 62.4721, 76.0546], [51.2021, 70.4242, 84.2415], [57.1944, 82.0349, 100.2925], [84.8333, 116.8097, 143.0565], [102.4791, 131.6637, 150.4277]]",0.06405404277939342,0.9333333333333333,0.015280361967109357,-0.010272524680354778,0.020019571713617772,prune
