configuration,n_ext,rmse_mean,MedianGain_prune_vs_unprune,WinRate,P10Gain,WorstGain,eps,win
unprune,40,"[[44.9558, 62.5779, 76.5114], [51.2096, 70.416, 84.1555], [57.4764, 82.4721, 100.7101], [84.8702, 116.9086, 143.1964], [102.0943, 131.4825, 149.7992]]",,,,,,
prune,14,"[[44.9175, 62.5816, 76.4056], [51.1843, 70.4266, 84.0051], [57.317, 82.7224, 100.6094], [84.8954, 116.9444, 143.2141], [102.3392, 131.3904, 150.1718]]",-0.005925719848587363,0.4666666666666667,-0.24522153923350665,-0.30347203912794996,0.09664603162645494,prune
