col,PI_h1,PI_h2,PI_h3,keep
vwap_amt_gap_1,0.057551441689130435,0.016553616185665494,-0.16080997471369093,True
vwap_amt_gap_15,-0.04127717167412707,-0.08162496932563101,-0.05851529729505008,False
vwap_amt_gap_60,0.03445355642412551,-0.12420031691776028,-0.026157310570539494,False
vwap_amt_gap_240,0.011990768581625844,0.028669463332666584,0.011273824600185852,True
ret_60,-0.02353210239540715,-0.018376816816290404,-0.18219149646774704,False
ret_240,0.036567441221687126,-0.023486071116077294,-0.0008095015071016102,False
ret_1440,0.006390908466350709,-0.008620640876609778,0.003204754851007389,True
log_rv15_rv240,0.005271258110473316,0.04562556737769796,0.08834760485551858,True
log_rv60_rv1440,0.03645371066115407,0.017069360441297476,0.06731811298728019,True
ret_skew_60,-0.003597930516711756,-0.016498614786068327,-0.03740967392664629,False
dd_240,0.009800705366863838,-0.012212839939290157,0.004500181366860072,True
ru_240,-0.07065089193546943,-0.0436803097609868,-0.12826066441632142,False
log_c_ema60,0.010233223508005077,-0.1004271990061909,-0.004555545628060524,False
log_c_ema240,0.006896706930002476,0.0028473317831914833,-0.012882098231680553,True
log_c_ema1440,0.014310195225254082,-0.024466989908939734,0.0768327115717445,True
log_ema60_ema240,0.00491597890596059,0.015127302935899442,-0.004360133492203507,True
hma_slope64_volnorm,0.018474771619201153,0.046841421118150116,0.07646982864841807,True
rsi240_centered,0.0016459375764602175,-0.019539765281052723,-0.026484671022132034,False
macd_hist_60_240_60_volnorm,0.0005044159720289562,0.024131130816433217,0.040917958373455576,True
bb_pctb_20,-0.00324930171866337,-0.005815144453004943,-0.00951506032012143,False
bb_pctb_60,0.0050973054405432094,0.0201604093326182,-0.1137914332919081,True
bb_logbw_20,0.08061543598831851,0.13851065751560063,0.07776442511077637,True
log_atr14_c,0.021191834900453916,0.004474284755379661,-0.0629192971774349,True
log_atr14_rv14,0.002777901785272263,-0.009676057651034853,-0.022604860127311593,False
kcw_20,0.05021340520673571,0.0647467864260373,0.04208703993765539,True
mfi14_centered,-0.013329348639954238,0.000503613943924582,-0.0033185606758034205,False
mfi60_centered,0.00575666766909914,-0.01587843072389224,0.07586990706273866,True
ad_vwclv_5,0.015656585191758648,-0.02586308334227283,-0.07674804740132875,False
ad_vwclv_15,-0.01956366299320204,-0.016822865500941475,0.011518079948179624,False
ad_vwclv_60,0.017020058468906047,-0.020714951485672373,-0.050491996102143354,False
psar_dir,0.0,0.0,0.0004088037243642854,False
psar_logdist,0.04520190883968193,-0.08177597772331542,-0.0059471615802427396,False
psar_age_log,0.0034435489408532285,0.0935911363553809,0.09092354300047134,True
dow_sin,0.0,0.0,0.0,False
dow_cos,0.0,0.0,0.0,False
log_rv60_med2d,0.015905831100115602,0.015603677050454698,0.002411890815399905,True
log_range_240,-0.03187560779278442,-0.043500131870663004,-0.01936052649366123,False
r5_1,0.0665719539283458,0.13275886125435932,0.00580894585799759,True
r5_12,0.007259694306083493,0.011488209771300717,-0.008245874040900011,True
log_c5_ema5_12,0.02330188777557396,0.07390293722176484,0.0709329531631037,True
