col,PI_h1,PI_h2,PI_h3,keep
vwap_amt_gap_1,0.007361893043920986,0.010224898319798115,0.00010071074415899754,True
vwap_amt_gap_15,-0.0013323594326261439,-0.005699804543922937,-0.004474911521143099,False
vwap_amt_gap_60,-0.0018751531402140624,-0.010036814562094301,-0.007219107887597905,False
vwap_amt_gap_240,0.00022557675347674908,0.00417201954710104,0.006726282955587711,True
ret_60,-0.00018901580988739397,-0.001225329345009148,-0.0017890174418463782,False
log_rv15_rv240,0.0007433837944243274,-0.0025969780192838243,-0.013176149054695921,False
log_rv60_rv1440,-0.000636917073641996,0.0009901484512369052,0.012145107969805244,True
log_c_ema1440,0.0016970622903755839,0.0036503516313596642,0.0038504123040752347,True
log_ema60_ema240,4.7491729243157956e-05,-0.0012478881982929124,0.0006636601032994349,True
hma_slope64_volnorm,-0.00028006208337198285,0.001127205197898699,0.0014647489683738968,True
rsi240_centered,-0.004281054498586438,-0.0006122322249571729,-0.002555501986942469,False
macd_hist_60_240_60_volnorm,0.00039435776901086683,-0.008127217794196895,-0.009112150797278673,False
bb_pctb_20,0.0025956436396394147,-0.00014064652836509595,0.000374665107277868,True
bb_pctb_60,-0.00037454987350097707,-0.00012040954651600562,0.0005400903670912763,False
bb_logbw_20,-0.0011942095202096918,-0.0016832982057763957,0.0014452162875500107,False
log_atr14_c,0.00038119497851833256,-0.00097790522209588,-0.0018195067515402268,False
kcw_20,-0.0003397309908450552,-0.00038103923009202845,-0.0007286600825343233,False
mfi14_centered,-0.00011639312339184471,-0.004604485329991803,-0.007155639230044623,False
mfi60_centered,0.00019323103909367015,0.0004852793486425829,-0.0007027007693902002,True
ad_vwclv_5,-0.0002810053734544719,-0.0007280032423864213,-0.0001074771337717569,False
ad_vwclv_15,0.0014104979925046262,-0.0010986480216341004,-0.001529883428654936,False
ad_vwclv_60,-0.0043779605599093925,-0.007273092526276059,-0.020938468428605955,False
psar_dir,-3.889761779873879e-05,9.71994575138524e-05,-3.9736209946757604e-05,False
psar_logdist,0.0008538308406897954,-0.004576141913266459,-0.003582748782927562,False
psar_age_log,0.00022018801380359795,0.020841527463791937,0.02443650093748791,True
dow_sin,0.0,0.0,0.0,False
dow_cos,0.0,0.0,0.0,False
log_rv60_med2d,0.0011216607325366112,0.0009128889814699429,9.100033913966854e-05,True
log_range_240,-0.0003269429858979341,0.0009586214007697436,0.001408520316109237,True
r5_1,0.001756694969491453,-0.006409643811129702,-0.025638647508268757,False
r5_12,0.0009302038734849324,0.0003582743221149561,0.0026909982278529774,True
log_c5_ema5_12,-2.367987325631778e-05,-0.0024048992552726154,-0.00749906903948272,False
