configuration,n_ext,rmse_mean,MedianGain_prune_vs_unprune,WinRate,P10Gain,WorstGain,eps,win
unprune,40,"[[44.8751, 62.5435, 76.3063], [51.2062, 70.3849, 84.2132], [57.5527, 83.5175, 101.471], [84.8767, 116.8618, 143.2386], [102.38, 131.5811, 149.9831]]",,,,,,
prune,5,"[[44.8553, 62.5103, 76.0607], [51.2027, 70.36, 84.1142], [57.3397, 82.652, 101.1488], [84.8739, 116.8841, 143.2024], [102.2617, 131.3595, 150.3416]]",0.05310265871250053,0.8666666666666667,-0.010203532107970755,-0.23905311610892266,0.09136446308473983,prune
