configuration,n_ext,rmse_mean,MedianGain_prune_vs_unprune,WinRate,P10Gain,WorstGain,eps,win
unprune,40,"[[45.0915, 62.7202, 76.4499], [51.1836, 70.3369, 83.9983], [58.4824, 83.7558, 104.568], [85.2857, 118.2713, 146.9688], [102.0531, 131.1431, 151.255]]",,,,,,
prune,23,"[[45.1606, 62.839, 76.6242], [51.1368, 70.2684, 83.9863], [57.9242, 83.6062, 103.676], [85.0159, 117.8343, 145.4542], [102.6833, 132.2302, 151.6688]]",0.09140821080091399,0.6,-0.4799613852064643,-0.8288971288947566,0.40413953563010163,prune
