col,base,lag,PI_h1,PI_h2,PI_h3,SA_gain_e0_h1,SA_gain_e0_h2,SA_gain_e0_h3,SA_gain_b0306_h1,SA_gain_b0306_h2,SA_gain_b0306_h3,MI_minus_null_h1,MI_minus_null_h2,MI_minus_null_h3,PI_plus,SA_plus,MI_plus,keep_R1,keep_R2,keep_R3,keep_R4
fine:t-63m:return1,return1,t-63m,0.0,0.0,0.0,0.0052835380027649315,-0.010316467823767717,0.024842643843481227,-0.08721697499622927,-0.010422923077912927,-0.016249031742332498,0.016980426821832317,0.01867071126044717,0.015034859545488999,False,True,True,True,True,False,True
fine:t-63m:return5,return5,t-63m,-0.002803868667314191,0.0038094544441046687,0.0,-0.012361642085956248,-0.03375377233494348,-0.03248753368185753,-0.01055312224982341,0.047102980162971875,0.0028064766583679734,0.008902686526941928,0.022626240258629693,0.00916836496811868,False,False,True,True,False,False,False
fine:t-63m:candle_return,candle_return,t-63m,-0.0015771098504870906,0.0,0.0,-0.012917220929775652,-0.09755024185262862,0.015894120587456317,-0.12748209833295387,-0.09765678996209726,-0.018812325324368828,0.01535023757884435,0.018224994843947684,0.01642833313847092,False,False,True,True,False,False,False
fine:t-63m:log_range,log_range,t-63m,0.0010362381392852171,0.00035738466963645504,0.0,-0.017431432626069387,0.074861277550764,-0.05666225000950931,-0.02064436725739416,0.06920675375361451,0.07835915646540181,0.042275704209602694,0.022642823430189196,0.034073799635296886,True,False,True,True,True,True,False
fine:t-63m:body_over_range,body_over_range,t-63m,-0.00043775819630080076,0.0,0.0,-0.020014024938919128,0.026087414232844885,0.010626436160698916,-0.22045172556448556,0.030260155348271756,0.05044648331961055,0.024724511382673064,0.011604961316992402,0.014154663337527573,False,True,True,True,True,False,True
fine:t-63m:close_position,close_position,t-63m,0.0013369662824445072,0.0,0.0,-0.013784038548503297,0.00784438873848714,0.046810568626654,-0.03500735166537261,0.07119827094321796,0.11104804020829473,0.018965450753428037,0.026900471992615582,0.008448476123931847,False,True,True,True,True,False,True
fine:t-63m:upper_wick,upper_wick,t-63m,0.005515092359374307,0.0,0.0,0.030696173182620523,-0.02428455605163471,-0.015767151346057773,0.04759144943381477,0.05969168195762986,0.05954802414458449,0.025732535347064545,0.010333168467592024,0.0069250526298096915,False,False,True,True,False,False,False
fine:t-63m:lower_wick,lower_wick,t-63m,0.003128791027980545,0.0,0.0,-0.007475491016806224,-0.01446781429810251,-0.0016136817870604503,0.0037297155840110285,0.021175225896918892,0.07626170660992582,0.020580804116614004,0.014664448148267617,0.009474194559559113,False,False,True,True,False,False,False
fine:t-63m:log_volume_delta,log_volume_delta,t-63m,0.005274907785794388,0.0,0.0,-0.006931494183692877,0.031856069167113255,-0.058288182786703224,-0.010946659200228304,0.04330827324992015,0.07673541780228721,0.0,-0.0014401936587384867,-0.003004656145948914,False,False,False,False,False,False,False
fine:t-63m:relative_log_volume60,relative_log_volume60,t-63m,0.0012807273766313187,0.0,0.0,0.0008653542784453627,-0.0404482866591227,-0.031652025475237267,-0.011117586275832814,0.0406162869414195,0.04433358465782966,0.0013585519827801207,-0.0038421409328819323,0.00279969890767795,False,False,True,True,False,False,False
fine:t-63m:volume_z60,volume_z60,t-63m,0.0,-0.0006727317440654209,0.0,0.024458509708102927,0.011400467619804289,0.03864884342642538,0.0003036107617204742,0.06436529907415389,0.04402576638879996,-0.0019223789414688497,0.004347401746002788,-0.002525424791808284,False,True,False,True,False,False,True
fine:t-63m:log_rv5_rv60,log_rv5_rv60,t-63m,0.0,0.00033556463341237003,0.0,-0.08490315349096722,-0.049559445875302366,-0.05851266103462649,-0.26162225281589624,0.04821932388940908,0.005708323507758184,0.001340383185749694,0.014503916854939902,0.003362316458622061,False,False,True,True,False,False,False
fine:t-63m:minute_mod5_sin,minute_mod5_sin,t-63m,0.0,0.0,0.0,0.051404649205533115,0.09464554424326588,0.08149447304595103,0.108636262325712,0.11976979560668344,0.10249786946482375,0.006603208423216156,-0.0014160095809208073,0.0030502162425634083,False,True,True,True,True,False,True
fine:t-63m:minute_mod5_cos,minute_mod5_cos,t-63m,0.0,0.0,0.0,0.06370070205029554,0.017760185468762568,0.005048978149380101,0.08208825265538788,0.056910460594206125,0.0746772851775157,0.0036972700436765926,-0.0016464732864580611,0.004730381349234314,False,True,True,True,True,False,True
fine:t-63m:time_of_day_sin,time_of_day_sin,t-63m,0.0,0.0,0.0,-0.05730546610744902,-0.07489640341382664,-0.19601279923902037,-0.000957328580497574,0.022907128244409325,-0.01997799606758832,0.0030611369248703113,0.02326584439694468,0.03822073557978989,False,False,True,True,False,False,False
fine:t-63m:time_of_day_cos,time_of_day_cos,t-63m,0.0,0.0,0.0,-0.011962908018636753,-0.021082920689186047,-0.06180082951516841,-0.015304117474013168,0.056305249736687824,0.011652212182766686,0.007443498793389125,0.026162104851686685,0.03714981063849532,False,False,True,True,False,False,False
fine:t-63m:rsi15_centered,rsi15_centered,t-63m,0.002939430247053565,0.0,0.0,0.007897225138175923,-0.01603659633617749,-0.02142470025803256,0.0004464924076241772,-0.01614305767905222,0.08460100257792202,0.021870782683982348,0.026365160690065004,0.034676747144048115,False,False,True,True,False,False,False
fine:t-63m:macd_hist_5_20_7_volnorm,macd_hist_5_20_7_volnorm,t-63m,0.0,0.0,0.0,-0.07610637396247011,-0.021751386780155535,-0.0658375560412372,-0.00974922931360478,0.04920339360748871,0.021680474406038375,-0.010146985454351665,0.004299531706146276,-0.008546318315378443,False,False,False,False,False,False,False
fine:t-63m:macd_hist_acceleration,macd_hist_acceleration,t-63m,0.0,0.0,0.0,-0.007107602765965559,-0.04546053454392851,-0.012122925331570222,-0.01450697203582152,0.052314229340999496,0.03208825545887306,0.015913038845170924,0.001972273931681201,0.0,False,False,True,True,False,False,False
fine:t-63m:ema_gap_8_32_volnorm,ema_gap_8_32_volnorm,t-63m,-0.0003157891662818694,0.001328985408638535,0.0,-0.012233004796802227,-0.007099337157678853,0.0177783647196339,-0.28683871089536517,0.05028124398640532,0.02523406956876917,0.007448172161685029,0.0032542312115309002,0.012404695845627423,False,False,True,True,False,False,False
fine:t-63m:hma_slope16_volnorm,hma_slope16_volnorm,t-63m,0.0,0.0036475583870867467,0.0,-0.024001543654983415,-0.013235767566732726,-0.02531162155432476,-0.014351013359270581,0.018639378426588138,0.05450067122491076,-0.007349982580051595,-0.0030646772675329004,0.001465622021058266,False,False,False,False,False,False,False
fine:t-63m:sign_flip_rate8,sign_flip_rate8,t-63m,0.0,0.0,0.0,-0.007864808025792591,-0.04295997426027043,-0.06086355081134087,-0.011239436040177964,0.0536664136589482,0.05878966773394945,0.007697375352023972,0.010916552238524613,0.0040506882203201755,False,False,True,True,False,False,False
fine:t-32m:return1,return1,t-32m,-0.0008017285894770984,0.0,0.0,-0.008373892658286586,-0.019637384425474913,-0.04214481856179564,-0.009058177069487527,0.05563912738296706,0.014023997316170433,0.024661468494111105,0.008537992049966192,0.024173342915946527,False,False,True,True,False,False,False
fine:t-32m:return5,return5,t-32m,-0.0003575757036221224,0.0,-0.00011254915611402794,0.001998225678057075,0.01437293133358386,-0.05497439825583594,-0.07223932309381453,0.04481454818443531,0.0800447305484675,0.016132605792063437,0.015634667491009502,0.017195024232580458,False,True,True,True,True,False,True
fine:t-32m:candle_return,candle_return,t-32m,0.0,0.0,0.0,-0.0059295211409349236,-0.019922397180005547,-0.037168657291308804,-0.009861876642136558,0.06637015174693062,0.025860701371627215,0.02570490019461502,0.007554580313293258,0.021551705303068047,False,False,True,True,False,False,False
fine:t-32m:log_range,log_range,t-32m,0.0008107007951707601,-0.00030413883192181856,0.0,-0.010440360922769898,-0.035857198138367075,-0.05527463668790755,-0.005545766429237986,0.04534970446822273,-0.01633176203801323,0.05383999446058052,0.032848037641560524,0.025608077034143584,False,False,True,True,False,False,False
fine:t-32m:body_over_range,body_over_range,t-32m,0.0,0.0,0.0,-0.05965176776165926,-0.017283859690331305,-0.03514847332233284,-0.02199300138294724,0.05258445787285071,0.07958304981500186,0.02934066757850573,0.0226707780618689,0.0068761362157916395,False,False,True,True,False,False,False
fine:t-32m:close_position,close_position,t-32m,0.0015692938594374557,0.0,0.0,-0.023088177632768492,0.06577436557329008,-0.017965586956947277,-0.013437735460564149,0.05643901716499977,0.004689658224565907,0.013520771665343378,0.016617914688146218,0.0019547498163667854,False,False,True,True,False,False,False
fine:t-32m:upper_wick,upper_wick,t-32m,0.0007471126350774663,0.0,0.0,-0.002300041230585137,-0.011929955007139448,-0.015293917233516474,-0.016520400113573253,0.05544325800076466,0.021072865394111684,0.025802736541590043,0.01617745577282692,-0.003045921125108375,False,False,True,True,False,False,False
fine:t-32m:lower_wick,lower_wick,t-32m,-0.0006597512607863602,0.0,0.0,-0.021740788983692916,-0.0060995863714996545,-0.018277781811781857,-0.17404753068861467,0.05118204910209423,0.04539510569303573,0.02564501392622942,0.02381551375849389,0.001744082907982225,False,False,True,True,False,False,False
fine:t-32m:log_volume_delta,log_volume_delta,t-32m,-0.001643141252972195,0.0,0.0,-0.0011482386161221214,0.07638230989719386,0.03002566608445445,0.013954147754924318,0.09208911020246457,0.09905889035782822,0.010216756449070274,-0.0004265870670829841,0.0,False,True,False,True,False,False,True
fine:t-32m:relative_log_volume60,relative_log_volume60,t-32m,-0.00023781169227987675,0.0,0.0,-0.004870482385754826,-0.09715371947995877,-0.07232777475782992,0.004778202104127605,0.0009213221143555828,0.06271477155062044,0.0,0.004937525304500312,0.003458354556337362,False,False,True,True,False,False,False
fine:t-32m:volume_z60,volume_z60,t-32m,-0.0002978477428830691,-0.003304819220559807,0.0,-0.018915027135513185,-0.04186172796809551,-0.06372625351347416,-0.12577133790954154,0.05279044931123522,0.07130468547698054,0.006981037067243179,0.0052661886934322055,0.0,False,False,True,True,False,False,False
fine:t-32m:log_rv5_rv60,log_rv5_rv60,t-32m,0.0,0.0,0.0,-0.007149448329402119,-0.03957225584270141,-0.05898710005953767,-0.006206806533226583,-0.022024400880549244,-0.011999070555290814,0.0009424463638554315,0.01724923283494384,0.025776556353046765,False,False,True,True,False,False,False
fine:t-32m:minute_mod5_sin,minute_mod5_sin,t-32m,0.0,0.0,0.0,0.051404649205533115,0.0946459920175724,0.08149447304595103,0.10864083413640868,0.11976979560668344,0.10249786946482375,0.0015508978226970171,-0.0020460664340875567,0.0019111654539627487,False,True,True,True,True,False,True
