file,figure_type,fold,origin_idx,timestamp_utc,actual_seed,selection_rule,units,source_metric,run_config_hash,phase_code_hash,visualizer_code_hash,git_revision,timeline,prediction_sources
path_012_fold2_2025-05-30_20250601T181800Z.png,forecast_path_overlay,fold2_2025-05-30,390349,2025-06-01T18:18:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
path_013_fold3_2025-10-19_20251020T034500Z.png,forecast_path_overlay,fold3_2025-10-19,592516,2025-10-20T03:45:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
path_014_fold3_2025-10-19_20251020T154400Z.png,forecast_path_overlay,fold3_2025-10-19,593235,2025-10-20T15:44:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
path_015_fold3_2025-10-19_20251021T034300Z.png,forecast_path_overlay,fold3_2025-10-19,593954,2025-10-21T03:43:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
path_016_fold3_2025-10-19_20251021T154300Z.png,forecast_path_overlay,fold3_2025-10-19,594674,2025-10-21T15:43:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
path_017_fold3_2025-10-19_20251022T034200Z.png,forecast_path_overlay,fold3_2025-10-19,595393,2025-10-22T03:42:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
path_018_fold3_2025-10-19_20251022T154100Z.png,forecast_path_overlay,fold3_2025-10-19,596112,2025-10-22T15:41:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
path_019_fold4_2026-03-11_20260312T010800Z.png,forecast_path_overlay,fold4_2026-03-11,798279,2026-03-12T01:08:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
path_020_fold4_2026-03-11_20260312T130700Z.png,forecast_path_overlay,fold4_2026-03-11,798998,2026-03-12T13:07:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
path_021_fold4_2026-03-11_20260313T010600Z.png,forecast_path_overlay,fold4_2026-03-11,799717,2026-03-13T01:06:00+00:00,8587,equal-time interval midpoint among common valid seed-0 origins,USD change from origin close,saved predictions,822935ae5e8f,03d7a4a8e4b34ff25f89cc51f397e898604e5eee0cf42fe96c99532e42c8cec2,4082579396c3e2633977b6bee412b46368178aea37c63da9d91fdc5bbdca72ab,d9191f4dbb9e3bbcf0beabd47ae5ae874d8940b8,data/BTC_1m_2y.csv,"wins/tfm_seed*.npz,wins/autots_seed*.npz"
