record_type,model,fold,horizon_minutes,seed,n_origins,rmse_usd,mae_usd,r2,rmse_e0_saved_usd,rmse_gain_vs_e0,r2_os_vs_e0,aggregation
seed,tfm,fold1_2025-01-07,1,8587,4317,73.17774014480142,51.17117258757021,0.9993605863885116,73.088929789322,-0.0012150999574822574,-0.0024316763828711174,seed-specific metric from saved prediction
seed,tfm,fold1_2025-01-07,2,8587,4317,101.99885403580072,72.69647442215225,0.9987567856817184,101.79853648464048,-0.001967784194917721,-0.003939440564473262,seed-specific metric from saved prediction
seed,tfm,fold1_2025-01-07,3,8587,4317,125.15378076326326,90.65277411886555,0.9981268780936939,124.67308166898866,-0.0038556766852917423,-0.0077262196132852345,seed-specific metric from saved prediction
seed,tfm,fold2_2025-05-30,1,8587,4309,47.77913457414437,32.004655431734626,0.9959392318033634,47.703468603224756,-0.0015861733566790992,-0.003174862659275579,seed-specific metric from saved prediction
seed,tfm,fold2_2025-05-30,2,8587,4309,68.49081819223981,46.70630993487767,0.9916505661220565,68.35523248430447,-0.0019835454142662634,-0.0039710252809430635,seed-specific metric from saved prediction
seed,tfm,fold2_2025-05-30,3,8587,4309,82.44878486202484,57.501228913743454,0.98789373483487,82.1496112451706,-0.003641814152490319,-0.00729689111530174,seed-specific metric from saved prediction
seed,tfm,fold3_2025-10-19,1,8587,4317,78.08699738704823,50.90612607740121,0.9973891848319948,77.7121588887322,-0.004823421504126735,-0.009670108403259992,seed-specific metric from saved prediction
seed,tfm,fold3_2025-10-19,2,8587,4317,109.62640955140401,74.87321590157458,0.9948571521896434,108.93836980236009,-0.006315862356782054,-0.012671614830873867,seed-specific metric from saved prediction
seed,tfm,fold3_2025-10-19,3,8587,4317,134.669269991788,93.40190840887753,0.992243588123673,133.66494505420908,-0.007513749675890136,-0.015083955785972103,seed-specific metric from saved prediction
seed,tfm,fold4_2026-03-11,1,8587,4317,46.086657964621,31.581029386069506,0.9968894631085252,45.93481574241685,-0.0033056020743744696,-0.006622131153823263,seed-specific metric from saved prediction
seed,tfm,fold4_2026-03-11,2,8587,4317,66.22615181149828,45.133097435881545,0.9935767115180978,65.86993983257041,-0.0054078078685557696,-0.010844860123055078,seed-specific metric from saved prediction
seed,tfm,fold4_2026-03-11,3,8587,4317,81.16486966209764,55.43604792626588,0.9903518557982073,80.56711274063696,-0.007419366303779595,-0.014893779603908586,seed-specific metric from saved prediction
seed,tfm,fold5_2026-08-01,1,8587,4300,25.28053442844693,16.034824128341224,0.9966980876196432,25.256956491416414,-0.0009335224946256382,-0.0018679164534991521,seed-specific metric from saved prediction
seed,tfm,fold5_2026-08-01,2,8587,4300,35.80674293291292,23.642840216201627,0.9933793605343139,35.74012664147736,-0.0018639075374244918,-0.003731289226157175,seed-specific metric from saved prediction
seed,tfm,fold5_2026-08-01,3,8587,4300,43.554491019061416,29.15992880339145,0.9902085186501912,43.41365554405294,-0.0032440363116983395,-0.006498596394988176,seed-specific metric from saved prediction
seed,tfm,fold1_2025-01-07,1,8588,4317,73.22500321362037,51.18158178039986,0.9993597601698084,73.088929789322,-0.0018617514949337277,-0.0037269691084962364,seed-specific metric from saved prediction
seed,tfm,fold1_2025-01-07,2,8588,4317,101.98917493081302,72.57493381520563,0.9987570216183097,101.79853648464048,-0.0018727032112224595,-0.003748913439762358,seed-specific metric from saved prediction
seed,tfm,fold1_2025-01-07,3,8588,4317,125.08142983762785,90.53322210106859,0.9981290431570347,124.67308166898866,-0.0032753515287555768,-0.0065614309851482755,seed-specific metric from saved prediction
seed,tfm,fold2_2025-05-30,1,8588,4309,47.680612529556925,31.952721666089836,0.9959559613948565,47.703468603224756,0.0004791281291920413,0.0009580266946197513,seed-specific metric from saved prediction
seed,tfm,fold2_2025-05-30,2,8588,4309,68.33703410356135,46.64398585848976,0.991688018399729,68.35523248430447,0.0002662324460280807,0.0005323940123407311,seed-specific metric from saved prediction
seed,tfm,fold2_2025-05-30,3,8588,4309,82.23199676306638,57.370776271291014,0.9879573147611486,82.1496112451706,-0.0010028716709309382,-0.002006749093450333,seed-specific metric from saved prediction
seed,tfm,fold3_2025-10-19,1,8588,4317,78.54104805921718,51.187000336163365,0.997358734464993,77.7121588887322,-0.010666145199643262,-0.021446057052706413,seed-specific metric from saved prediction
seed,tfm,fold3_2025-10-19,2,8588,4317,111.37508329939706,75.7593788821547,0.9946917743595568,108.93836980236009,-0.022367816789049977,-0.04523595280600867,seed-specific metric from saved prediction
seed,tfm,fold3_2025-10-19,3,8588,4317,137.7329272267608,94.87172475954104,0.991886665044078,133.66494505420908,-0.030434173828462807,-0.06179458659354653,seed-specific metric from saved prediction
seed,tfm,fold4_2026-03-11,1,8588,4317,46.007163904737816,31.575617791957058,0.9969001844739569,45.93481574241685,-0.0015750180152385163,-0.003152516712225273,seed-specific metric from saved prediction
seed,tfm,fold4_2026-03-11,2,8588,4317,66.09802337202333,45.0285208073241,0.9936015418839831,65.86993983257041,-0.003462634701544731,-0.006937259242166149,seed-specific metric from saved prediction
seed,tfm,fold4_2026-03-11,3,8588,4317,80.9713057869332,55.2473463055138,0.990397819164389,80.56711274063696,-0.005016849090737852,-0.010058866956275114,seed-specific metric from saved prediction
seed,tfm,fold5_2026-08-01,1,8588,4300,25.264431593159863,16.010317982679847,0.9967022926903516,25.256956491416414,-0.0002959620944822383,-0.0005920117825259918,seed-specific metric from saved prediction
seed,tfm,fold5_2026-08-01,2,8588,4300,35.748151809901444,23.61004343463517,0.9934010097153052,35.74012664147736,-0.00022454224923684762,-0.0004491349176951598,seed-specific metric from saved prediction
seed,tfm,fold5_2026-08-01,3,8588,4300,43.43053803394848,29.076657476692578,0.990264171065608,43.41365554405294,-0.000388875105861608,-0.0007779014355713265,seed-specific metric from saved prediction
seed,tfm,fold1_2025-01-07,1,8589,4317,73.21684706588903,51.173616378610156,0.9993599027877555,73.088929789322,-0.0017501593871431798,-0.0035033818321668075,seed-specific metric from saved prediction
seed,tfm,fold1_2025-01-07,2,8589,4317,102.14763489462692,72.71157467615228,0.9987531562018261,101.79853648464048,-0.003429306766498774,-0.006870373677896113,seed-specific metric from saved prediction
seed,tfm,fold1_2025-01-07,3,8589,4317,125.50611849354412,90.81850400204046,0.9981163166786801,124.67308166898866,-0.006681769740537913,-0.01340818552794154,seed-specific metric from saved prediction
seed,tfm,fold2_2025-05-30,1,8589,4309,47.67552416099218,31.95558553176945,0.9959568244903508,47.703468603224756,0.0005857947660997675,0.001171246376691637,seed-specific metric from saved prediction
seed,tfm,fold2_2025-05-30,2,8589,4309,68.43539393269623,46.62859426296979,0.9916640737414512,68.35523248430447,-0.0011727185392891304,-0.0023468123473506797,seed-specific metric from saved prediction
seed,tfm,fold2_2025-05-30,3,8589,4309,82.44691750791084,57.411816793578154,0.987894283209915,82.1496112451706,-0.0036190830149267494,-0.007251263791722584,seed-specific metric from saved prediction
seed,tfm,fold3_2025-10-19,1,8589,4317,77.9578043348863,50.79260146419336,0.9973978167467767,77.7121588887322,-0.0031609654096189654,-0.006331922521558786,seed-specific metric from saved prediction
seed,tfm,fold3_2025-10-19,2,8589,4317,109.54744565665207,74.6863315592191,0.99486455830717,108.93836980236009,-0.005591013115002541,-0.011213285657657224,seed-specific metric from saved prediction
seed,tfm,fold3_2025-10-19,3,8589,4317,134.6591283455063,93.28031752006514,0.9922447563162935,133.66494505420908,-0.0074378760331963445,-0.014931074066278027,seed-specific metric from saved prediction
seed,tfm,fold4_2026-03-11,1,8589,4317,46.02582214230316,31.548139788345683,0.9968976696994079,45.93481574241685,-0.0019812074657410417,-0.003966340114504252,seed-specific metric from saved prediction
seed,tfm,fold4_2026-03-11,2,8589,4317,66.08731884986982,45.085645391530825,0.9936036141665419,65.86993983257041,-0.0033001247283956925,-0.006611140280014638,seed-specific metric from saved prediction
seed,tfm,fold4_2026-03-11,3,8589,4317,81.03369255394887,55.384958320440006,0.9903830168886831,80.56711274063696,-0.005791194414697776,-0.011615926762144513,seed-specific metric from saved prediction
seed,tfm,fold5_2026-08-01,1,8589,4300,25.29145998239794,16.01881226122421,0.9966952330109072,25.256956491416414,-0.0013660985239156709,-0.0027340632730081804,seed-specific metric from saved prediction
seed,tfm,fold5_2026-08-01,2,8589,4300,35.80501391650788,23.587602572575765,0.9933799999065065,35.74012664147736,-0.0018155300813964548,-0.0036343563122693823,seed-specific metric from saved prediction
seed,tfm,fold5_2026-08-01,3,8589,4300,43.52379729552349,29.012986881915456,0.9902223142940991,43.41365554405294,-0.0025370301139184814,-0.005080496749635621,seed-specific metric from saved prediction
seed,autots,fold1_2025-01-07,1,8587,4317,73.35567914868169,51.2599722216976,0.9993574730113973,73.088929789322,-0.003649654744276587,-0.007312629468305465,seed-specific metric from saved prediction
seed,autots,fold1_2025-01-07,2,8587,4317,104.64196642321923,73.86844859460525,0.9986915196562619,101.79853648464048,-0.027931933373204876,-0.056644059648375045,seed-specific metric from saved prediction
seed,autots,fold1_2025-01-07,3,8587,4317,130.52353811361138,92.84288494644663,0.9979626963135463,124.67308166898866,-0.04692638030842855,-0.09605484578570822,seed-specific metric from saved prediction
seed,autots,fold2_2025-05-30,1,8587,4309,47.578358401691574,31.914639544620858,0.9959732881953748,47.703468603224756,0.0026226646656197783,0.005238450961291385,seed-specific metric from saved prediction
seed,autots,fold2_2025-05-30,2,8587,4309,68.38276512196184,46.71670317023158,0.9916768899515968,68.35523248430447,-0.0004027875651464452,-0.0008057373681156221,seed-specific metric from saved prediction
seed,autots,fold2_2025-05-30,3,8587,4309,82.32905415364677,57.51806276440689,0.9879288703251743,82.1496112451706,-0.0021843427589769426,-0.004373456871242798,seed-specific metric from saved prediction
seed,autots,fold3_2025-10-19,1,8587,4317,77.92328909163298,50.976069748897324,0.9974001204316042,77.7121588887322,-0.0027168232863414854,-0.00544102770145205,seed-specific metric from saved prediction
seed,autots,fold3_2025-10-19,2,8587,4317,112.74044195230555,76.36114982032882,0.9945608284365133,108.93836980236009,-0.03490112948122248,-0.0710203478015099,seed-specific metric from saved prediction
seed,autots,fold3_2025-10-19,3,8587,4317,144.92596841656817,97.05851773664261,0.9910171060412131,133.66494505420908,-0.08424814268088077,-0.17559403490693937,seed-specific metric from saved prediction
seed,autots,fold4_2026-03-11,1,8587,4317,45.9687140287787,31.567156558120164,0.996905363568153,45.93481574241685,-0.0007379650013605854,-0.001476474595064392,seed-specific metric from saved prediction
seed,autots,fold4_2026-03-11,2,8587,4317,65.97465979279873,45.02805083415545,0.9936254034173861,65.86993983257041,-0.0015897989355160291,-0.003182125331687269,seed-specific metric from saved prediction
seed,autots,fold4_2026-03-11,3,8587,4317,80.97035177404538,55.23468710126621,0.9903980454309711,80.56711274063696,-0.005005007870972689,-0.01003506584573377,seed-specific metric from saved prediction
seed,autots,fold5_2026-08-01,1,8587,4300,25.27121765691674,16.036122613394365,0.9967005209142944,25.256956491416414,-0.0005646430719066231,-0.0011296049656119855,seed-specific metric from saved prediction
seed,autots,fold5_2026-08-01,2,8587,4300,35.78546813993816,23.649147239256987,0.9933872255830845,35.74012664147736,-0.0012686440346347805,-0.0025388975269560188,seed-specific metric from saved prediction
seed,autots,fold5_2026-08-01,3,8587,4300,43.48632469298032,29.207857021831103,0.9902391435978665,43.41365554405294,-0.0016738776778111308,-0.003350557222102646,seed-specific metric from saved prediction
seed,autots,fold1_2025-01-07,1,8588,4317,73.35567914868169,51.2599722216976,0.9993574730113973,73.088929789322,-0.003649654744276587,-0.007312629468305465,seed-specific metric from saved prediction
seed,autots,fold1_2025-01-07,2,8588,4317,104.64196642321923,73.86844859460525,0.9986915196562619,101.79853648464048,-0.027931933373204876,-0.056644059648375045,seed-specific metric from saved prediction
seed,autots,fold1_2025-01-07,3,8588,4317,130.52353811361138,92.84288494644663,0.9979626963135463,124.67308166898866,-0.04692638030842855,-0.09605484578570822,seed-specific metric from saved prediction
seed,autots,fold2_2025-05-30,1,8588,4309,47.578358401691574,31.914639544620858,0.9959732881953748,47.703468603224756,0.0026226646656197783,0.005238450961291385,seed-specific metric from saved prediction
seed,autots,fold2_2025-05-30,2,8588,4309,68.38276512196184,46.71670317023158,0.9916768899515968,68.35523248430447,-0.0004027875651464452,-0.0008057373681156221,seed-specific metric from saved prediction
seed,autots,fold2_2025-05-30,3,8588,4309,82.32905415364677,57.51806276440689,0.9879288703251743,82.1496112451706,-0.0021843427589769426,-0.004373456871242798,seed-specific metric from saved prediction
seed,autots,fold3_2025-10-19,1,8588,4317,77.92328909163298,50.976069748897324,0.9974001204316042,77.7121588887322,-0.0027168232863414854,-0.00544102770145205,seed-specific metric from saved prediction
seed,autots,fold3_2025-10-19,2,8588,4317,112.74044195230555,76.36114982032882,0.9945608284365133,108.93836980236009,-0.03490112948122248,-0.0710203478015099,seed-specific metric from saved prediction
seed,autots,fold3_2025-10-19,3,8588,4317,144.92596841656817,97.05851773664261,0.9910171060412131,133.66494505420908,-0.08424814268088077,-0.17559403490693937,seed-specific metric from saved prediction
seed,autots,fold4_2026-03-11,1,8588,4317,45.9687140287787,31.567156558120164,0.996905363568153,45.93481574241685,-0.0007379650013605854,-0.001476474595064392,seed-specific metric from saved prediction
seed,autots,fold4_2026-03-11,2,8588,4317,65.97465979279873,45.02805083415545,0.9936254034173861,65.86993983257041,-0.0015897989355160291,-0.003182125331687269,seed-specific metric from saved prediction
seed,autots,fold4_2026-03-11,3,8588,4317,80.97035177404538,55.23468710126621,0.9903980454309711,80.56711274063696,-0.005005007870972689,-0.01003506584573377,seed-specific metric from saved prediction
seed,autots,fold5_2026-08-01,1,8588,4300,25.27121765691674,16.036122613394365,0.9967005209142944,25.256956491416414,-0.0005646430719066231,-0.0011296049656119855,seed-specific metric from saved prediction
seed,autots,fold5_2026-08-01,2,8588,4300,35.78546813993816,23.649147239256987,0.9933872255830845,35.74012664147736,-0.0012686440346347805,-0.0025388975269560188,seed-specific metric from saved prediction
seed,autots,fold5_2026-08-01,3,8588,4300,43.48632469298032,29.207857021831103,0.9902391435978665,43.41365554405294,-0.0016738776778111308,-0.003350557222102646,seed-specific metric from saved prediction
seed,autots,fold1_2025-01-07,1,8589,4317,73.35567914868169,51.2599722216976,0.9993574730113973,73.088929789322,-0.003649654744276587,-0.007312629468305465,seed-specific metric from saved prediction
seed,autots,fold1_2025-01-07,2,8589,4317,104.64196642321923,73.86844859460525,0.9986915196562619,101.79853648464048,-0.027931933373204876,-0.056644059648375045,seed-specific metric from saved prediction
seed,autots,fold1_2025-01-07,3,8589,4317,130.52353811361138,92.84288494644663,0.9979626963135463,124.67308166898866,-0.04692638030842855,-0.09605484578570822,seed-specific metric from saved prediction
seed,autots,fold2_2025-05-30,1,8589,4309,47.578358401691574,31.914639544620858,0.9959732881953748,47.703468603224756,0.0026226646656197783,0.005238450961291385,seed-specific metric from saved prediction
seed,autots,fold2_2025-05-30,2,8589,4309,68.38276512196184,46.71670317023158,0.9916768899515968,68.35523248430447,-0.0004027875651464452,-0.0008057373681156221,seed-specific metric from saved prediction
seed,autots,fold2_2025-05-30,3,8589,4309,82.32905415364677,57.51806276440689,0.9879288703251743,82.1496112451706,-0.0021843427589769426,-0.004373456871242798,seed-specific metric from saved prediction
seed,autots,fold3_2025-10-19,1,8589,4317,77.92328909163298,50.976069748897324,0.9974001204316042,77.7121588887322,-0.0027168232863414854,-0.00544102770145205,seed-specific metric from saved prediction
seed,autots,fold3_2025-10-19,2,8589,4317,112.74044195230555,76.36114982032882,0.9945608284365133,108.93836980236009,-0.03490112948122248,-0.0710203478015099,seed-specific metric from saved prediction
seed,autots,fold3_2025-10-19,3,8589,4317,144.92596841656817,97.05851773664261,0.9910171060412131,133.66494505420908,-0.08424814268088077,-0.17559403490693937,seed-specific metric from saved prediction
seed,autots,fold4_2026-03-11,1,8589,4317,45.9687140287787,31.567156558120164,0.996905363568153,45.93481574241685,-0.0007379650013605854,-0.001476474595064392,seed-specific metric from saved prediction
seed,autots,fold4_2026-03-11,2,8589,4317,65.97465979279873,45.02805083415545,0.9936254034173861,65.86993983257041,-0.0015897989355160291,-0.003182125331687269,seed-specific metric from saved prediction
seed,autots,fold4_2026-03-11,3,8589,4317,80.97035177404538,55.23468710126621,0.9903980454309711,80.56711274063696,-0.005005007870972689,-0.01003506584573377,seed-specific metric from saved prediction
seed,autots,fold5_2026-08-01,1,8589,4300,25.27121765691674,16.036122613394365,0.9967005209142944,25.256956491416414,-0.0005646430719066231,-0.0011296049656119855,seed-specific metric from saved prediction
seed,autots,fold5_2026-08-01,2,8589,4300,35.78546813993816,23.649147239256987,0.9933872255830845,35.74012664147736,-0.0012686440346347805,-0.0025388975269560188,seed-specific metric from saved prediction
seed,autots,fold5_2026-08-01,3,8589,4300,43.48632469298032,29.207857021831103,0.9902391435978665,43.41365554405294,-0.0016738776778111308,-0.003350557222102646,seed-specific metric from saved prediction
