path_number,fold,origin_idx,timestamp_utc,horizon_minutes,actual_seed,origin_close_usd,actual_price_usd,e0_price_usd,tfm_price_usd,autots_price_usd,actual_delta_usd,e0_delta_usd,tfm_delta_usd,autots_delta_usd
1,fold1_2025-01-07,180991,2025-01-07T09:00:00+00:00,1,8587,101914.1,101874.98,101914.1,101913.78418751276,101913.6171356689,-39.120000000009895,0.0,-0.31581248724251054,-0.48286433110479265
1,fold1_2025-01-07,180991,2025-01-07T09:00:00+00:00,2,8587,101914.1,101892.55,101914.1,101913.75891576003,101913.13427362559,-21.55000000000291,0.0,-0.34108423997531645,-0.9657263744156808
1,fold1_2025-01-07,180991,2025-01-07T09:00:00+00:00,3,8587,101914.1,101900.25,101914.1,101913.41938150671,101912.65141387006,-13.85000000000582,0.0,-0.6806184932938777,-1.4485861299472163
2,fold1_2025-01-07,181710,2025-01-07T20:59:00+00:00,1,8587,96533.35,96609.4,96533.35,96533.01965367772,96532.29759887102,76.04999999998836,0.0,-0.33034632228373084,-1.052401128981728
2,fold1_2025-01-07,181710,2025-01-07T20:59:00+00:00,2,8587,96533.35,96675.37,96533.35,96530.22608948631,96530.97865376972,142.01999999998952,0.0,-3.1239105136919534,-2.3713462302839616
2,fold1_2025-01-07,181710,2025-01-07T20:59:00+00:00,3,8587,96533.35,96635.37,96533.35,96525.76803704837,96528.68579591422,102.01999999998952,0.0,-7.581962951633614,-4.664204085784149
3,fold1_2025-01-07,182429,2025-01-08T08:58:00+00:00,1,8587,95937.18,95945.99,95937.18,95936.89040811271,95934.30567460826,8.810000000012224,0.0,-0.28959188728185836,-2.874325391734601
3,fold1_2025-01-07,182429,2025-01-08T08:58:00+00:00,2,8587,95937.18,95907.95,95937.18,95937.46377026079,95931.43143533275,-29.229999999995925,0.0,0.28377026079397183,-5.748564667243045
3,fold1_2025-01-07,182429,2025-01-08T08:58:00+00:00,3,8587,95937.18,95962.37,95937.18,95937.50890673473,95930.91540244741,25.19000000000233,0.0,0.3289067347359378,-6.264597552581108
4,fold1_2025-01-07,183149,2025-01-08T20:58:00+00:00,1,8587,94019.99,93980.0,94019.99,94020.02324245482,94021.30922685274,-39.99000000000524,0.0,0.03324245481053367,1.3192268527345732
4,fold1_2025-01-07,183149,2025-01-08T20:58:00+00:00,2,8587,94019.99,93992.4,94019.99,94021.76381407927,94021.97631921605,-27.59000000001106,0.0,1.7738140792644117,1.9863192160410108
4,fold1_2025-01-07,183149,2025-01-08T20:58:00+00:00,3,8587,94019.99,94009.63,94019.99,94024.25456029634,94023.16743432904,-10.360000000000582,0.0,4.264560296331183,3.1774343290308025
5,fold1_2025-01-07,183868,2025-01-09T08:57:00+00:00,1,8587,92996.4,92985.33,92996.4,92994.0125205389,92995.24472338255,-11.069999999992433,0.0,-2.3874794610892422,-1.1552766174427234
5,fold1_2025-01-07,183868,2025-01-09T08:57:00+00:00,2,8587,92996.4,93030.87,92996.4,92991.83076998808,92993.40924850949,34.470000000001164,0.0,-4.5692300119117135,-2.990751490506227
5,fold1_2025-01-07,183868,2025-01-09T08:57:00+00:00,3,8587,92996.4,92996.8,92996.4,92989.20587881908,92991.57380977915,0.40000000000873115,0.0,-7.194121180917136,-4.826190220846911
6,fold1_2025-01-07,184587,2025-01-09T20:56:00+00:00,1,8587,92122.95,92116.61,92122.95,92119.75080336003,92128.47524448296,-6.3399999999965075,0.0,-3.199196639965521,5.525244482967537
6,fold1_2025-01-07,184587,2025-01-09T20:56:00+00:00,2,8587,92122.95,92037.92,92122.95,92117.51351972461,92129.48428000291,-85.02999999999884,0.0,-5.436480275384383,6.534280002917512
6,fold1_2025-01-07,184587,2025-01-09T20:56:00+00:00,3,8587,92122.95,91903.22,92122.95,92114.8260971371,92134.09739223894,-219.72999999999593,0.0,-8.123902862891555,11.147392238941393
7,fold2_2025-05-30,386753,2025-05-30T06:22:00+00:00,1,8587,106022.01,106021.99,106022.01,106023.22239730676,106022.50039865788,-0.01999999998952262,0.0,1.2123973067646148,0.49039865788654424
7,fold2_2025-05-30,386753,2025-05-30T06:22:00+00:00,2,8587,106022.01,106013.14,106022.01,106025.065386879,106018.81005186717,-8.869999999995343,0.0,3.055386879001162,-3.19994813282392
7,fold2_2025-05-30,386753,2025-05-30T06:22:00+00:00,3,8587,106022.01,106017.7,106022.01,106025.74784770187,106015.11983309321,-4.309999999997672,0.0,3.737847701879218,-6.890166906785453
8,fold2_2025-05-30,387472,2025-05-30T18:21:00+00:00,1,8587,104678.06,104632.54,104678.06,104677.98186627628,104675.73103253744,-45.520000000004075,0.0,-0.07813372371310834,-2.328967462555738
8,fold2_2025-05-30,387472,2025-05-30T18:21:00+00:00,2,8587,104678.06,104703.02,104678.06,104679.42284539143,104673.64397367131,24.960000000006403,0.0,1.3628453914279817,-4.41602632869035
8,fold2_2025-05-30,387472,2025-05-30T18:21:00+00:00,3,8587,104678.06,104744.49,104678.06,104680.41617858324,104671.63300231173,66.43000000000757,0.0,2.3561785832425812,-6.426997688264237
9,fold2_2025-05-30,388191,2025-05-31T06:20:00+00:00,1,8587,103693.09,103693.09,103693.09,103690.15059857491,103694.8792612886,0.0,0.0,-2.939401425086544,1.7892612886062125
9,fold2_2025-05-30,388191,2025-05-31T06:20:00+00:00,2,8587,103693.09,103680.69,103693.09,103688.65500938501,103695.25180811372,-12.39999999999418,0.0,-4.434990614987328,2.161808113727602
9,fold2_2025-05-30,388191,2025-05-31T06:20:00+00:00,3,8587,103693.09,103670.01,103693.09,103687.16410297187,103697.0411067051,-23.080000000001746,0.0,-5.925897028122563,3.9511067051062128
10,fold2_2025-05-30,388911,2025-05-31T18:20:00+00:00,1,8587,104596.0,104596.6,104596.0,104596.41316425026,104598.55310585517,0.6000000000058208,0.0,0.41316425026161596,2.5531058551714523
10,fold2_2025-05-30,388911,2025-05-31T18:20:00+00:00,2,8587,104596.0,104596.61,104596.0,104597.29551780982,104601.11983331094,0.6100000000005821,0.0,1.2955178098200122,5.119833310935064
10,fold2_2025-05-30,388911,2025-05-31T18:20:00+00:00,3,8587,104596.0,104577.26,104596.0,104598.84085454098,104603.67306375665,-18.74000000000524,0.0,2.8408545409765793,7.673063756650663
11,fold2_2025-05-30,389630,2025-06-01T06:19:00+00:00,1,8587,104292.68,104239.4,104292.68,104292.95910635516,104292.72958899081,-53.279999999998836,0.0,0.2791063551703701,0.04958899081975687
11,fold2_2025-05-30,389630,2025-06-01T06:19:00+00:00,2,8587,104292.68,104195.13,104292.68,104292.14189412803,104293.08658949714,-97.54999999998836,0.0,-0.5381058719649445,0.4065894971427042
11,fold2_2025-05-30,389630,2025-06-01T06:19:00+00:00,3,8587,104292.68,104239.02,104292.68,104290.79895963368,104293.13617871093,-53.65999999998894,0.0,-1.881040366308298,0.4561787109414581
12,fold2_2025-05-30,390349,2025-06-01T18:18:00+00:00,1,8587,104981.23,105024.39,104981.23,104984.36729779241,104979.77216948321,43.16000000000349,0.0,3.1372977924183942,-1.4578305167815415
12,fold2_2025-05-30,390349,2025-06-01T18:18:00+00:00,2,8587,104981.23,105000.01,104981.23,104988.13760480683,104977.38745612254,18.779999999998836,0.0,6.907604806838208,-3.8425438774575014
12,fold2_2025-05-30,390349,2025-06-01T18:18:00+00:00,3,8587,104981.23,104936.08,104981.23,104991.49365074823,104976.0177303917,-45.14999999999418,0.0,10.263650748238433,-5.212269608295173
13,fold3_2025-10-19,592516,2025-10-20T03:45:00+00:00,1,8587,109120.0,109125.34,109120.0,109113.29956742615,109116.75931585355,5.3399999999965075,0.0,-6.700432573852595,-3.2406841464544414
13,fold3_2025-10-19,592516,2025-10-20T03:45:00+00:00,2,8587,109120.0,109166.25,109120.0,109108.40214230886,109112.18876678051,46.25,0.0,-11.597857691143872,-7.811233219486894
13,fold3_2025-10-19,592516,2025-10-20T03:45:00+00:00,3,8587,109120.0,109215.12,109120.0,109104.47670183581,109108.94831382093,95.11999999999534,0.0,-15.523298164189328,-11.051686179067474
14,fold3_2025-10-19,593235,2025-10-20T15:44:00+00:00,1,8587,111382.26,111356.91,111382.26,111376.76213491843,111381.67719892372,-25.34999999999127,0.0,-5.497865081561031,-0.5828010762779741
14,fold3_2025-10-19,593235,2025-10-20T15:44:00+00:00,2,8587,111382.26,111349.96,111382.26,111372.17952797576,111381.09440089691,-32.29999999998836,0.0,-10.080472024230403,-1.1655991030856967
14,fold3_2025-10-19,593235,2025-10-20T15:44:00+00:00,3,8587,111382.26,111413.54,111382.26,111368.61316045444,111380.51160586892,31.279999999998836,0.0,-13.646839545559487,-1.7483941310783848
