start_position,origin_id,n_predictions,single_origin_sample,duration_ms
0,149936,1,1,0.4126339918002486
1,149937,29,0,0.6199189811013639
30,149966,1,1,0.3382770228199661
31,149967,29,0,0.542916008271277
60,149996,1,1,0.33270701533183455
61,149997,30,0,0.5682830233126879
91,150027,1,1,0.3307830193080008
92,150028,29,0,0.5423150141723454
121,150057,1,1,0.33086398616433144
122,150058,30,0,0.543776957783848
152,150088,1,1,0.332475989125669
153,150089,29,0,0.5217870348133147
182,150118,1,1,0.3369540208950639
183,150119,30,0,0.5286000086925924
213,150149,1,1,0.34352694638073444
214,150150,29,0,0.5265159998089075
243,150179,1,1,0.3420339780859649
244,150180,30,0,0.5270770052447915
274,150210,1,1,0.33697503386065364
275,150211,29,0,0.5207349895499647
304,150240,1,1,0.33658399479463696
305,150241,30,0,0.5280380137264729
335,150271,1,1,0.3272760077379644
336,150272,29,0,0.5302230129018426
365,150301,1,1,0.3283889964222908
366,150302,29,0,0.5387089913710952
395,150331,1,1,0.3260240191593766
396,150332,30,0,0.5415530176833272
426,150362,1,1,0.3267559804953635
427,150363,29,0,0.5289299879223108
456,150392,1,1,0.32807805109769106
457,150393,30,0,0.5373660242184997
487,150423,1,1,0.32681500306352973
488,150424,29,0,0.5348609993234277
517,150453,1,1,0.3288890002295375
518,150454,30,0,0.5353820160962641
548,150484,1,1,0.3278979565948248
549,150485,29,0,0.5207250360399485
578,150514,1,1,0.3361930139362812
579,150515,30,0,0.5293809808790684
609,150545,1,1,0.336403027176857
610,150546,29,0,0.5209359806030989
639,150575,1,1,0.33476995304226875
640,150576,30,0,0.5278280004858971
670,150606,1,1,0.33534097019582987
671,150607,29,0,0.5225779605098069
700,150636,1,1,0.33215596340596676
701,150637,30,0,0.5313049769029021
731,150667,1,1,0.32828800613060594
732,150668,29,0,0.5392400198616087
761,150697,1,1,0.3321660333313048
762,150698,29,0,0.5312950233928859
791,150727,1,1,0.3252929891459644
792,150728,30,0,0.5434370250441134
822,150758,1,1,0.3268459695391357
823,150759,29,0,0.5303730140440166
852,150788,1,1,0.3281779936514795
853,150789,30,0,0.5417639622464776
883,150819,1,1,0.32697501592338085
884,150820,29,0,0.5314849549904466
913,150849,1,1,0.3281680401414633
914,150850,30,0,0.534991966560483
944,150880,1,1,0.32978097442537546
945,150881,29,0,0.5261849728412926
974,150910,1,1,0.32787700183689594
975,150911,30,0,0.5271669942885637
1005,150941,1,1,0.3357919631525874
