start_position,origin_id,n_predictions,single_origin_sample,duration_ms
0,181104,1,1,95.1983190025203
1,181105,23,0,93.03667396306992
24,181128,1,1,93.1755420169793
25,181129,24,0,93.5717269894667
49,181153,1,1,93.25034101493657
50,181154,23,0,92.97490899916738
73,181177,1,1,93.4400429832749
74,181178,24,0,92.80095499707386
98,181202,1,1,93.0822379887104
99,181203,23,0,92.9291239590384
122,181226,1,1,92.95832802308723
123,181227,24,0,93.38867699261755
147,181251,1,1,93.01037399563938
148,181252,23,0,93.47423596773297
171,181275,1,1,93.30652497010306
172,181276,24,0,92.88426005514339
196,181300,1,1,93.27897301409394
197,181301,24,0,92.91623899480328
221,181325,1,1,93.05722103454173
222,181326,23,0,93.31552102230489
245,181349,1,1,93.7066680053249
246,181350,24,0,92.8761149989441
270,181374,1,1,93.55859196512029
271,181375,23,0,93.06698897853494
294,181398,1,1,93.69007602799684
295,181399,24,0,93.27607799787074
319,181423,1,1,93.34736998425797
320,181424,23,0,93.15175598021597
343,181447,1,1,93.19236205192283
344,181448,24,0,93.16795598715544
368,181472,1,1,92.93072600848973
369,181473,24,0,92.8404779988341
393,181497,1,1,93.12556800432503
394,181498,23,0,92.72340999450535
417,181521,1,1,93.01865904126316
418,181522,24,0,93.15532195614651
442,181546,1,1,93.19993597455323
443,181547,23,0,93.06555503280833
466,181570,1,1,93.09248597128317
467,181571,24,0,93.91914098523557
491,181595,1,1,94.25961400847882
492,181596,23,0,93.61622901633382
515,181619,1,1,92.96282497234643
516,181620,24,0,92.6441730116494
540,181644,1,1,94.25458405166864
541,181645,23,0,92.85480401013047
564,181668,1,1,93.45693298382685
565,181669,24,0,92.9400619934313
589,181693,1,1,93.22837804211304
590,181694,24,0,92.78669796185568
614,181718,1,1,93.36898900801316
615,181719,23,0,92.90880401385948
638,181742,1,1,93.11530698323622
639,181743,24,0,92.73351798765361
663,181767,1,1,93.08242599945515
664,181768,23,0,93.05483498610556
687,181791,1,1,93.50652399007231
688,181792,24,0,92.93878998141736
712,181816,1,1,93.14579400233924
713,181817,23,0,92.9013189743273
736,181840,1,1,93.59804401174188
737,181841,24,0,92.90472604334354
761,181865,1,1,93.19241001503542
762,181866,24,0,93.30293501261622
786,181890,1,1,93.6809679842554
787,181891,23,0,93.33097701892257
810,181914,1,1,93.14253798220307
811,181915,24,0,93.24413596186787
835,181939,1,1,93.32144900690764
836,181940,23,0,92.85054402425885
859,181963,1,1,93.37024000706151
860,181964,24,0,92.77700795792043
884,181988,1,1,93.1094650295563
885,181989,23,0,93.00517197698355
908,182012,1,1,93.09330600081012
909,182013,24,0,92.73280599154532
933,182037,1,1,93.11119897756726
934,182038,23,0,92.80499001033604
957,182061,1,1,93.06476201163605
958,182062,24,0,92.82462595729157
982,182086,1,1,93.15170400077477
983,182087,24,0,92.94918802333996
1007,182111,1,1,93.14375795656815
1008,182112,23,0,92.77898102300242
1031,182135,1,1,93.11953402357176
1032,182136,24,0,92.59578102501109
1056,182160,1,1,93.14752503996715
1057,182161,23,0,92.8990330430679
1080,182184,1,1,93.77757599577308
1081,182185,24,0,92.9319949937053
1105,182209,1,1,93.24742999160662
1106,182210,23,0,92.89135999279097
1129,182233,1,1,93.35594298318028
1130,182234,24,0,92.78839896433055
1154,182258,1,1,93.07965001789853
1155,182259,24,0,92.83394296653569
1179,182283,1,1,93.08038098970428
1180,182284,23,0,93.3981710113585
1203,182307,1,1,93.08585099643096
1204,182308,24,0,92.89591701235622
1228,182332,1,1,92.99905900843441
1229,182333,23,0,92.84702700097114
1252,182356,1,1,93.17617805209011
1253,182357,24,0,92.76472398778424
1277,182381,1,1,93.10648898826912
1278,182382,23,0,92.82100899145007
1301,182405,1,1,93.0519379908219
1302,182406,24,0,92.77257800567895
1326,182430,1,1,110.69269297877327
1327,182431,24,0,93.11963303480297
1351,182455,1,1,93.1015590322204
